Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League
2019,G,29,Karsten Tadda,EWE,35,22.625,11.0,3.875,9.125,0.53375,1.5,4.875,0.385,1.75,2.125,1.0225,1.5,5.0,6.5,5.375,1.75,0.25,2.125,7.25,German BBL
2019,F,1,Kelan Martin,LUD,27,31.25,33.0,11.625,26.5,0.545,3.75,12.25,0.38375,6.0,7.0,1.07625,1.625,8.875,10.5,2.75,2.375,1.0,2.625,5.375,German BBL
2019,F,2,Elias Harris,BRO,34,24.625,32.25,12.375,19.375,0.7987500000000001,0.125,1.375,0.16625,7.375,9.375,0.9762500000000001,4.25,6.75,11.0,4.125,1.75,1.25,3.0,5.75,German BBL
2019,F,3,Dwayne Evans,RUL,36,34.75,30.625,10.0,18.875,0.66125,1.75,4.625,0.46499999999999997,9.0,10.875,1.03625,3.75,10.0,13.75,4.75,2.75,1.0,4.375,4.125,German BBL
2019,F,4,Sherman Gay,CRA,29,20.375,30.5,12.25,16.5,0.9325,0.0,0.0,0.0,6.0,8.875,0.8387500000000001,4.125,6.625,10.75,1.75,2.0,2.375,2.75,7.5,German BBL
2019,F,5,Rokas Giedraitis,BER,42,30.125,30.375,10.5,20.75,0.63375,5.0,12.5,0.50125,4.25,5.5,0.9650000000000001,1.75,4.875,6.625,2.25,2.125,0.75,1.875,4.25,German BBL
2019,F,6,Niels Giffey,BER,40,23.875,30.25,11.375,21.75,0.65375,2.875,8.0,0.44125,4.5,5.0,1.15125,1.75,5.0,6.875,3.375,3.125,0.5,2.625,5.875,German BBL
2019,F,7,Sergio Kerusch,BC,34,22.625,29.0,11.125,22.875,0.60625,3.375,10.25,0.41625,3.375,4.375,0.9725,5.375,5.375,10.75,2.5,1.625,0.75,2.875,8.625,German BBL
2019,F,8,T.J. Bray,RAS,40,40.375,29.0,9.25,20.25,0.57125,5.25,12.625,0.5237499999999999,5.25,5.875,1.1125,0.875,5.5,6.5,14.75,2.625,0.5,5.75,4.375,German BBL
2019,F,9,Malcolm Hill,LUD,7,34.25,28.125,8.5,21.25,0.49625,2.875,8.75,0.40125,8.5,10.375,1.0225,2.25,9.75,11.875,5.0,3.125,0.625,2.5,3.75,German BBL
2019,F,10,Vladimir Lucic,BAY,39,29.125,27.75,9.25,15.75,0.73,3.375,7.125,0.59625,6.0,6.875,1.09375,1.75,8.625,10.375,3.75,2.625,0.375,2.375,5.5,German BBL
2019,F,11,De'Mon Brooks,BAY,34,33.25,27.625,10.0,19.625,0.635,2.375,6.125,0.47,5.25,6.375,1.02875,3.125,8.125,11.25,3.375,1.625,1.0,3.0,7.125,German BBL
2019,F,12,Brandon Thomas,GIE,33,41.375,26.875,9.5,16.875,0.7025000000000001,4.75,9.625,0.61375,3.125,3.875,1.0037500000000001,1.125,3.625,4.625,4.375,1.375,0.375,3.0,2.5,German BBL
2019,F,13,Travis Releford,BC,26,36.625,26.75,9.375,20.25,0.57875,2.625,7.75,0.41625,5.375,6.5,1.02375,1.0,4.125,5.0,10.5,3.25,0.125,4.875,6.25,German BBL
2019,F,14,Mihajlo Andric,GOE,33,31.125,26.0,9.25,20.625,0.55875,4.625,12.625,0.45499999999999996,2.875,3.625,1.0,0.75,5.25,6.125,3.375,1.625,0.25,3.125,4.625,German BBL
2019,F,15,Ricky Paulding,EWE,40,39.125,25.25,8.625,17.75,0.6025,3.375,8.875,0.48,4.625,5.375,1.0925,1.625,5.75,7.5,3.5,1.875,0.75,1.875,3.25,German BBL
2019,F,16,Yorman Polas,TBB,37,30.75,22.125,7.625,17.125,0.5575,1.625,5.5,0.3575,5.25,7.875,0.8400000000000001,4.125,6.75,10.875,5.25,1.625,0.125,3.875,5.875,German BBL
2019,F,17,Brayon Blake,BLB,37,30.375,22.0,7.75,21.375,0.45125,3.625,13.25,0.34750000000000003,2.875,4.25,0.8400000000000001,2.25,8.125,10.25,2.25,2.125,1.25,2.5,6.25,German BBL
2019,F,18,Florian Koch,OLI,34,21.0,21.375,8.375,16.625,0.6325000000000001,3.625,8.875,0.5062500000000001,1.0,1.25,0.9375,0.5,8.375,9.0,2.375,1.0,0.375,1.0,5.75,German BBL
2019,F,19,Shaquille Hines,BLB,34,29.875,20.625,7.5,16.75,0.55875,2.75,8.125,0.43124999999999997,2.75,4.125,0.82625,4.75,6.75,11.5,1.75,1.625,2.125,1.75,5.0,German BBL
2019,F,20,Konrad Wysocki,CRA,34,30.0,20.25,6.5,14.5,0.555,5.0,11.125,0.55875,2.25,3.25,0.88125,1.875,9.125,11.0,8.0,1.5,0.375,3.125,6.5,German BBL
2019,F,21,Michael Cuffee,CRA,27,28.875,20.0,7.375,17.875,0.51125,4.5,12.25,0.4625,0.875,1.5,0.75,1.5,5.625,7.25,4.125,1.125,0.25,3.375,5.75,German BBL
2019,F,22,Immanuel McElroy,SCJ,33,28.25,19.625,6.375,14.5,0.5525,2.625,6.5,0.49375,4.125,6.0,0.8787499999999999,1.75,6.125,7.875,4.875,2.25,0.125,2.875,5.25,German BBL
2019,F,23,Quantez Robertson,FRA,34,43.5,18.75,6.125,15.375,0.495,2.625,8.5,0.38875,3.875,4.625,1.04625,2.375,7.5,9.875,6.0,2.75,0.5,4.0,5.125,German BBL
2019,F,24,Shawn Huff,FRA,31,29.625,18.0,6.25,14.25,0.5425,2.75,8.875,0.37875,3.0,3.625,1.0,3.0,5.125,8.125,2.5,1.0,0.375,1.5,6.5,German BBL
2019,F,25,Nemanja Dangubic,BAY,36,22.0,18.0,6.0,14.25,0.525,2.5,8.375,0.37875,3.5,4.5,0.98375,1.75,9.25,11.0,3.125,2.5,0.25,2.25,6.125,German BBL
2019,F,26,Robin Christen,RAS,39,20.25,17.5,5.875,15.5,0.47250000000000003,3.5,10.0,0.43999999999999995,2.25,3.375,0.83375,2.625,6.625,9.25,2.5,1.375,0.375,2.125,6.75,German BBL
2019,F,27,Mathis Moenninghoff,GOE,33,20.25,15.875,5.25,12.75,0.515,3.25,9.625,0.42125,2.0,2.5,1.0225,1.25,7.125,8.375,2.625,1.625,0.375,1.375,6.75,German BBL
2019,F,28,Niklas Wimberg,EIS,31,22.625,14.0,5.25,13.0,0.5062500000000001,2.0,7.625,0.335,1.5,1.75,1.09375,3.0,5.375,8.375,3.0,1.125,1.5,2.5,6.5,German BBL
2019,F,1,Augustine Rubit,BRO,38,30.0,36.375,13.25,21.0,0.7887500000000001,1.5,3.375,0.5287499999999999,8.375,9.75,1.0725,4.0,9.375,13.375,2.125,1.625,1.625,2.875,5.25,German BBL
2019,F,2,Scott Eatherton,BLB,30,36.25,35.5,13.0,22.0,0.73875,0.75,2.25,0.39125,8.875,11.5,0.96375,7.375,11.375,18.625,4.375,1.25,1.5,5.0,6.125,German BBL
2019,F,3,Derrick Williams,BAY,37,26.5,32.25,12.0,21.375,0.70125,2.875,6.75,0.54,5.375,8.0,0.83375,2.0,7.5,9.5,3.0,2.5,1.5,3.25,4.0,German BBL
2019,F,4,Joe Lawson,CRA,23,24.875,32.0,11.625,23.125,0.6325000000000001,4.5,10.5,0.53125,4.25,5.75,0.90875,3.625,8.75,12.5,3.625,3.375,0.75,4.75,8.125,German BBL
2019,F,5,Martin Breunig,TBB,34,25.75,30.0,10.375,18.75,0.69125,0.0,0.125,0.0,9.375,12.625,0.92625,3.625,7.75,11.5,3.125,1.5,1.375,2.625,6.125,German BBL
2019,F,6,Xavier Cooks,OLI,34,31.25,27.875,11.125,19.625,0.71,2.25,5.0,0.56375,3.25,4.75,0.8450000000000001,3.625,10.125,13.75,5.25,2.625,1.5,4.75,5.875,German BBL
2019,F,7,Darius Carter,GOE,31,27.75,27.625,11.125,18.75,0.7437499999999999,0.375,1.25,0.41625,4.875,7.375,0.83375,5.0,7.25,12.25,3.375,1.5,1.375,2.0,5.75,German BBL
2019,F,8,Seth Hinrichs,RAS,35,35.5,27.125,9.875,17.75,0.6950000000000001,1.75,4.875,0.45375,5.625,6.625,1.05625,3.75,7.25,10.875,7.25,2.375,0.0,3.25,5.5,German BBL
2019,F,9,Perry Ellis,OLI,12,34.75,27.0,9.75,20.875,0.5825,3.625,7.5,0.595,4.0,4.625,1.0574999999999999,2.0,6.125,8.125,2.75,1.25,0.5,3.0,2.75,German BBL
2019,F,10,Luke Sikma,BER,42,31.0,26.25,10.25,19.375,0.6625000000000001,2.25,5.75,0.48,3.625,5.5,0.8075,4.125,10.25,14.375,11.0,3.625,1.25,4.5,3.625,German BBL
2019,F,11,Adam Waleskowski,LUD,34,23.5,25.625,9.5,21.875,0.54375,4.375,10.75,0.515,2.125,4.0,0.6687500000000001,3.5,9.125,12.625,4.875,3.0,1.375,3.625,10.875,German BBL
2019,F,12,Benjamin David Lischka,GIE,27,26.375,25.125,8.125,16.5,0.6125,1.625,4.25,0.46875,7.25,9.125,0.9912500000000001,2.25,8.125,10.375,4.5,1.125,0.375,5.125,7.875,German BBL
2019,F,13,Darnell Jackson,EIS,33,24.75,25.0,8.0,16.25,0.615,0.625,2.25,0.365,8.5,11.625,0.905,4.75,10.125,15.0,3.625,1.75,0.5,5.0,8.875,German BBL
2019,F,14,Bojan Subotic,TBB,32,26.125,25.0,8.25,19.625,0.525,2.375,9.0,0.325,6.125,7.5,1.0125000000000002,3.875,7.375,11.25,3.625,1.75,0.875,3.0,7.375,German BBL
2019,F,15,Ryan Thompson,RUL,36,28.75,24.75,8.0,16.125,0.625,1.75,5.125,0.44625,6.75,8.25,1.04,1.25,6.125,7.5,5.625,1.875,0.375,3.875,5.25,German BBL
2019,F,16,Adonis Thomas,BAY,32,30.625,23.25,8.75,21.625,0.50375,2.875,8.75,0.41625,2.875,3.625,0.99,1.75,6.0,7.75,4.25,1.5,0.25,3.375,3.5,German BBL
2019,F,17,Philipp Herkenhoff,RAS,39,21.875,22.125,7.625,17.0,0.56,2.75,7.75,0.43499999999999994,4.125,5.25,0.97875,4.0,7.0,11.0,3.125,1.875,0.875,3.125,5.125,German BBL
2019,F,18,Richard Freudenberg,FRA,22,20.125,21.75,7.625,16.75,0.56875,3.375,8.875,0.48125,3.0,4.875,0.77625,3.25,3.75,7.0,2.875,0.875,0.5,2.75,5.625,German BBL
2019,F,19,Isaac Fotu,RUL,28,24.5,21.625,7.875,14.0,0.7037499999999999,0.375,1.125,0.375,5.625,7.375,0.95125,5.125,7.375,12.5,2.875,2.125,0.625,1.375,4.25,German BBL
2019,F,20,Dennis Kramer,GOE,32,21.625,21.5,8.625,17.0,0.62875,1.625,4.75,0.42625,2.75,5.25,0.65125,4.125,8.0,12.125,3.0,1.125,1.25,4.25,9.875,German BBL
2019,F,21,Philipp Schwethelm,EWE,40,28.25,21.375,7.0,14.0,0.6225,3.875,9.5,0.5125,3.5,4.25,1.0187499999999998,2.25,6.25,8.5,2.625,2.125,0.625,1.375,6.75,German BBL
2019,F,22,Julius Wolf,SCJ,32,23.625,19.125,6.75,17.375,0.48625,4.375,12.0,0.45499999999999996,1.25,1.625,1.0162499999999999,3.875,10.5,14.375,4.125,1.875,0.625,2.125,8.375,German BBL
2019,F,23,James Webb III,TBB,27,24.5,18.5,6.125,16.75,0.45625,3.0,10.25,0.375,3.125,3.75,1.06,2.75,10.25,12.875,2.875,1.875,1.25,2.125,7.5,German BBL
2019,F,24,Hans Brase,BC,23,21.875,17.75,6.75,14.125,0.5925,1.875,6.0,0.40625,2.375,2.5,1.17625,2.25,9.375,11.625,2.375,0.625,1.625,2.5,5.75,German BBL
