Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2020,"Frank Bartley, IV",G,6-3,215,Medi Bayreuth,Baton Rouge (LA),"2018 NBA Draft, Undrafted",United States
2020,Trae Bell-Haynes,G,6-2,180,HARKO Merlins Crailsheim,Toronto,"2018 NBA Draft, Undrafted",Canada
2020,Tyreese Blunt,F,6-4,189,MHP Riesen,N/A,2024 NBA Draft Eligible,Germany
2020,Shannon Bogues,G,6-3,195,BV Chemnitz 99,Baltimore (MD),"2019 NBA Draft, Undrafted",United States
2020,Joshua Bonga,G,6-3,176,Fraport Skyliners,N/A,2027 NBA Draft Eligible,Germany
2020,Deishuan Booker,G,6-3,170,BG Goettingen,Las Vegas (NV),"2019 NBA Draft, Undrafted",United States
2020,Brandon Bowman,F,6-9,223,Giessen 46ers,Beverly Hills (CA),"2006 NBA Draft, Undrafted",United States
2020,A.J. Brodeur,F,6-8,230,MHP Riesen,Northfield (MA),"2020 NBA Draft, Undrafted",United States
2020,Chad Brown,C,6-9,245,Giessen 46ers,Deltona (FL),"2019 NBA Draft, Undrafted",United States
2020,"Barry Brown, Jr.",G,6-3,195,MHP Riesen,St. Petersburg (FL),"2019 NBA Draft, Undrafted",United States
2020,Kay Bruhnke,G,6-9,205,Medi Bayreuth,Baunach,"2023 NBA Draft, Undrafted",Germany
2020,Troy Caupain,G,6-4,210,Ratiopharm Ulm,Midlothian (VA),"2017 NBA Draft, Undrafted",United States
2020,Cameron Clark,G,6-6,211,Ratiopharm Ulm,Phoenix (AZ),"2014 NBA Draft, Undrafted",United States
2020,Wes Clark,G,6-0,177,BV Chemnitz 99,Detroit (MI),"2018 NBA Draft, Undrafted",United States
2020,Dennis Clifford,C,7-1,260,SC Rasta Vechta,Bridgewater (MA),"2016 NBA Draft, Undrafted",United States
2020,Shavon Coleman,F,6-5,195,Mitteldeutscher BC,Thibodaux (LA),"2014 NBA Draft, Undrafted",United States
2020,Tim Coleman,F,6-5,210,HARKO Merlins Crailsheim,Union (NJ),"2017 NBA Draft, Undrafted",United States
2020,Demetrius Conger,F,6-6,205,Ratiopharm Ulm,Brooklyn (NY),"2013 NBA Draft, Undrafted",United States
2020,Zac Cuthbertson,F,6-7,185,Hamburg Towers,Pleasant Hill (NC),"2019 NBA Draft, Undrafted",United States
2020,Robin Danes,F,6-6,198,Mitteldeutscher BC,N/A,"2023 NBA Draft, Undrafted",Finland
2020,Aubrey Dawkins,F,6-6,205,BG Goettingen,Palo Alto (CA),"2019 NBA Draft, Undrafted",United States
2020,Tre Demps,G,6-3,195,MHP Riesen,San Antonio (TX),"2016 NBA Draft, Undrafted",United States
2020,Micah Downs,G,6-8,200,s.Oliver Baskets,Kirkland (WA),"2009 NBA Draft, Undrafted",United States
2020,Jerome Dyson,G,6-3,180,Telekom Baskets Bonn,Potomac (MD),"2010 NBA Draft, Undrafted",United States
2020,K.J. Feagin,G,6-1,190,MHP Riesen,Long Beach (CA),"2020 NBA Draft, Undrafted",United States
2020,Chase Fieler,F,6-8,205,Brose Baskets Bamberg,Parkersburg (WV),"2014 NBA Draft, Undrafted",United States
2020,Luis Figge,G,6-6,168,BV Chemnitz 99,Korbach,"2019 NBA Draft, Undrafted",Germany
2020,Simone Fontecchio,F,6-7,209,ALBA Berlin,Pescara,"2017 NBA Draft, Undrafted",Italy
2020,Vincent Friederici,G,6-2,152,Mitteldeutscher BC,Berlin,"2023 NBA Draft, Undrafted",Germany
2020,Sananda Fru,C,6-9,214,Basketball Lowen Braunschweig,N/A,2025 NBA Draft Eligible,Germany
2020,Tomislav Gabric,F,6-9,185,EWE Baskets Oldenburg,Sibenik,"2017 NBA Draft, Undrafted",Croatia
2020,Deividad Gailius,F,6-6,207,Telekom Baskets Bonn,Klaipeda,"2010 NBA Draft, Undrafted",Lithuania
2020,Diante Garrett,G,6-4,190,Giessen 46ers,Milwaukee (WI),"2011 NBA Draft, Undrafted",United States
2020,John Gillon,G,6-0,178,BV Chemnitz 99,Houston (TX),"2017 NBA Draft, Undrafted",United States
2020,James Gist,F,6-9,235,Bayern Munich,Silver Spring (MD),2008 Rnd 2 Pick 27,United States
2020,Jayson Granger,G,6-2,195,ALBA Berlin,Montevideo,"2011 NBA Draft, Undrafted",Uruguay
2020,Brendan Gregori,G,6-1,158,BV Chemnitz 99,N/A,2026 NBA Draft Eligible,Germany
2020,Jon Axel Gudmundsson,G,6-5,200,Fraport Skyliners,Hamburg,"2020 NBA Draft, Undrafted",GermanyIceland
2020,Per Guenther,G,6-1,176,Ratiopharm Ulm,Hagen,"2010 NBA Draft, Undrafted",Germany
2020,Josh Hagins,G,6-1,180,Telekom Baskets Bonn,Bossier City (LA),"2016 NBA Draft, Undrafted",United States
2020,Jermaine Haley,G,6-7,215,HARKO Merlins Crailsheim,Burnaby,"2020 NBA Draft, Undrafted",Canada
2020,Devon Hall,G,6-5,215,Brose Baskets Bamberg,Virginia Beach (VA),2018 Rnd 2 Pick 23,United States
2020,Alex Hamilton,G,6-4,195,Telekom Baskets Bonn,Chipley (FL),"2016 NBA Draft, Undrafted",United States
2020,Isaac Hamilton,G,6-4,185,Giessen 46ers,Los Angeles (CA),"2017 NBA Draft, Undrafted",United States
2020,Terrel Harris,F,6-5,190,BV Chemnitz 99,Dallas (TX),"2009 NBA Draft, Undrafted",United States
2020,Philipp Hartwich,C,7-1,250,Mitteldeutscher BC,Cologne,"2018 NBA Draft, Undrafted",Germany
2020,Tim Hasbargen,G,6-4,200,SC Rasta Vechta,Munich,"2018 NBA Draft, Undrafted",Germany
2020,Tucker Haymond,GF,6-6,213,Hamburg Towers,Seattle (WA),"2017 NBA Draft, Undrafted",United States
2020,Haywood Highsmith,F,6-5,220,HARKO Merlins Crailsheim,Baltimore (MD),"2018 NBA Draft, Undrafted",United States
2020,Kyndahl Hill,F,6-7,225,Mitteldeutscher BC,Humble (TX),"2017 NBA Draft, Undrafted",United States
