Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2023,Michail Sprintzios,C,6-9,-,GS Lavrio,N/A,2027 NBA Draft Eligible,Greece
2023,Jonathan Stark,G,6-0,180,Aris BC,Munford (TN),"2018 NBA Draft, Undrafted",United States
2023,T.J. Starks,G,6-2,196,AS Apollon Patras,Lancaster (TX),"2021 NBA Draft, Undrafted",United States
2023,Orfeas Stasinos,G,6-0,-,Maroussi BC,Athens,"2021 NBA Draft, Undrafted",Greece
2023,Vassilis Staurakoukas,G,6-3,-,Maroussi BC,N/A,"2023 NBA Draft, Undrafted",Greece
2023,Sotiris Stavrakopoulos,GF,6-7,-,Peristeri BC,N/A,2026 NBA Draft Eligible,Greece
2023,DeShawn Stephens,F,6-8,215,ASP Promitheas Patras,Los Angeles (CA),"2013 NBA Draft, Undrafted",United States
2023,Georgios Tanoulis,C,6-11,231,Olympiacos,Thessaloniki,2024 NBA Draft Eligible,Greece
2023,Trevor Thompson,F,7-0,250,Peristeri BC,Indianapolis (IN),"2017 NBA Draft, Undrafted",United States
2023,Marcus Thornton,G,6-4,190,GS Lavrio,Upper Marlboro (MD),2015 Rnd 2 Pick 15,United States
2023,Justin Tillman,F,6-8,229,AEK Athens,Detroit (MI),"2018 NBA Draft, Undrafted",United States
2023,Vasilis Toliopoulos,G,6-2,175,Aris BC,Athens,"2018 NBA Draft, Undrafted",Greece
2023,Marques Townes,G,6-4,208,PAOK BC,Edison (NJ),"2019 NBA Draft, Undrafted",United StatesDominican Republic
2023,Michalis Tsairelis,F,6-10,225,PAOK BC,Thessaloniki,"2010 NBA Draft, Undrafted",Greece
2023,Panagiotis Tsamis,C,6-9,209,GS Lavrio,N/A,2024 NBA Draft Eligible,Greece
2023,Nikolaos Tsiakmas,G,6-2,194,PAOK BC,N/A,"2021 NBA Draft, Undrafted",Greece
2023,Athanasios Tsoukas,G,6-2,-,AS Karditsas,N/A,"2023 NBA Draft, Undrafted",Greece
2023,Stephen Ugochukwu,F,6-7,220,Maroussi BC,Lewisville (TX),"2018 NBA Draft, Undrafted",United States
2023,Daniel Utomi,F,6-6,215,Kolossos Rodou BC,Houston (TX),"2020 NBA Draft, Undrafted",United StatesNigeria
2023,Leonidas Valkanas,G,6-4,-,AS Apollon Patras,N/A,2028 NBA Draft Eligible,Greece
2023,Nikolaos Vasileiou,G,6-5,-,ASP Promitheas Patras,N/A,2029 NBA Draft Eligible,Greece
