Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality,League
2024,PF,17,"Juan Davis, Jr.",ZAD,17,18.8,17.6,6.5,16.1,0.402,3.3,9.6,0.344,1.4,1.8,0.75,2.9,6.6,9.5,2.1,2.0,1.1,1.8,5.7,2023,F,6-8,205,KK Zadar,West Point (MS),"2018 NBA Draft, Undrafted",United States,Croatian Basketball League
2023,PF,16,Ante Covic,BOS,14,7.7,18.2,7.1,13.7,0.516,0.4,2.7,0.167,3.5,4.0,0.889,0.4,7.5,8.0,3.1,2.2,0.9,4.4,4.9,2022,PF,6-9,206,KK Bosco Zagreb,,2026 NBA Draft Eligible,Bosnia and Herzegovina,Croatian Basketball League
2023,PF,18,Sandro Antunovic,SRKL,32,22.2,18.1,6.7,11.7,0.578,3.0,6.5,0.464,1.6,1.9,0.821,2.2,6.1,8.3,2.0,0.9,0.9,3.2,6.1,2023,PF,6-8,235,KK Skrljevo,Sarajevo,"2020 NBA Draft, Undrafted",Bosnia and Herzegovina,Croatian Basketball League
2023,PF,19,Marko Malekinusic,DIN,13,6.7,17.7,6.6,13.8,0.48,2.8,8.3,0.333,1.7,1.7,1.0,2.2,8.3,10.5,3.3,2.2,0.6,0.6,7.2,2023,F,6-5,220,KK Dinamo,Prozor-Rama,2027 NBA Draft Eligible,Bosnia and Herzegovina,Croatian Basketball League
2023,PF,20,Filip Kalajzic,DUB,34,14.4,17.4,6.2,13.0,0.474,1.4,4.3,0.318,3.7,5.5,0.679,4.3,5.8,10.1,1.2,0.8,1.6,2.7,5.1,2022,PF,6-9,-,KK Cibona,,2025 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,PF,19,Filip Kalajzic,DUB,20,13.7,16.5,7.5,13.0,0.581,0.4,1.9,0.182,1.1,4.0,0.261,3.7,3.9,7.5,1.8,1.4,1.6,3.2,8.2,2022,PF,6-9,-,KK Cibona,,2025 NBA Draft Eligible,Croatia,Croatian Basketball League
2023,PF,30,Leon Sljivaric,BOS,26,13.3,9.9,4.0,10.0,0.403,0.7,1.9,0.357,1.1,1.9,0.571,2.9,3.3,6.3,1.8,0.8,0.6,3.3,6.1,2022,F,6-8,-,KK Bosco Zagreb,,2026 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,PF,29,Leon Sljivaric,SRKL,29,11.8,10.8,3.9,10.1,0.389,1.1,5.3,0.211,1.8,2.5,0.722,2.8,4.1,6.9,2.5,2.5,0.3,2.5,5.9,2022,F,6-8,-,KK Bosco Zagreb,,2026 NBA Draft Eligible,Croatia,Croatian Basketball League
2023,PF,31,Mihael Tomic,ZAB,21,7.2,7.0,2.6,8.9,0.286,0.3,2.6,0.125,1.6,2.6,0.625,2.9,4.8,7.7,3.5,0.6,0.3,1.9,5.7,2022,PF,6-9,-,KK Bosco Zagreb,,2026 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,PF,28,Mihael Tomic,ZAB,27,9.7,11.0,4.2,9.9,0.426,0.4,2.4,0.154,2.2,3.3,0.667,2.6,6.8,9.3,2.7,0.7,0.9,1.6,7.3,2022,PF,6-9,-,KK Bosco Zagreb,,2026 NBA Draft Eligible,Croatia,Croatian Basketball League
2023,PF,32,Myles Howard,SIB,32,24.8,6.8,3.0,8.9,0.331,0.0,0.1,0.0,0.8,1.4,0.583,3.7,7.7,11.4,1.5,1.6,3.4,1.9,4.5,2023,C,6-9,201,GKK Sibenk,Chicago (IL),"2020 NBA Draft, Undrafted",United States,Croatian Basketball League
