"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2024,F,41,Ruben Guerrero,OBR,22.0,10.75,15.5,7.0,13.625,0.64,0.0,0.0,0.0,1.625,2.875,0.695,8.625,9.875,18.375,3.5,1.25,2.25,4.125,8.25,2019,F,"7-0",240,Unicaja,Marbella,"2019 NBA Draft, Undrafted",Spain,Spanish ACB
2020,C,40,Frank Elegar,UNI,25.0,16.25,16.25,5.875,8.75,0.85125,0.0,0.0,0.0,4.5,6.125,0.90875,6.5,7.375,13.875,0.75,1.125,1.5,3.5,9.375,2019,F,"6-9",225,Unicaja,The Bronx (NY),"2008 NBA Draft, Undrafted",United StatesU.S. Virgin Islands,Spanish ACB
2020,C,41,Georgios Bogris,TEN,15.0,18.625,15.875,7.75,14.0,0.6975,0.0,0.0,0.0,0.25,0.5,0.625,3.0,10.75,13.75,6.5,1.375,0.5,2.375,11.875,2019,FC,"6-11",235,Lenovo Tenerife,Athens,"2011 NBA Draft, Undrafted",Greece,Spanish ACB
2020,C,42,Usman Garuba,RMB,24.0,21.0,15.625,6.375,11.625,0.68875,0.625,2.0,0.385,2.25,4.0,0.695,5.625,13.25,18.875,2.0,1.625,3.125,4.875,6.5,2019,C,"6-8",229,Real Madrid,Madrid,"2021 Rnd 1 Pick 23",Spain,Spanish ACB
2021,C,50,Usman Garuba,RMB,43.0,23.25,18.625,7.0,15.25,0.57,2.375,6.75,0.43,2.375,3.25,0.90125,5.375,11.875,17.25,3.0,2.375,1.375,3.125,6.75,2019,C,"6-8",229,Real Madrid,Madrid,"2021 Rnd 1 Pick 23",Spain,Spanish ACB
2020,C,43,Dino Radoncic,MUR,18.0,23.5,13.75,5.5,12.875,0.53125,1.375,4.125,0.435,1.375,2.625,0.66625,4.25,9.0,13.25,1.0,1.25,0.0,2.625,6.375,2019,GF,"6-8",225,UCAM Murcia CB,Giessen,"2021 NBA Draft, Undrafted",MontenegroBosnia and Herzegovina,Spanish ACB
2021,F,24,Dino Radoncic,GBC,36.0,35.125,23.25,8.5,19.125,0.5575,1.5,6.0,0.30625,4.625,6.375,0.91125,4.125,7.875,12.0,3.5,2.375,0.625,3.875,3.5,2019,GF,"6-8",225,UCAM Murcia CB,Giessen,"2021 NBA Draft, Undrafted",MontenegroBosnia and Herzegovina,Spanish ACB
2022,F,32,Dino Radoncic,ZAR,34.0,30.5,20.625,7.5,14.25,0.65375,0.375,1.875,0.28875,5.25,7.0,0.9275,3.375,8.5,11.875,1.875,1.5,0.375,3.125,4.5,2019,GF,"6-8",225,UCAM Murcia CB,Giessen,"2021 NBA Draft, Undrafted",MontenegroBosnia and Herzegovina,Spanish ACB
2023,F,46,Dino Radoncic,ZAR,16.0,19.875,15.25,5.875,12.0,0.6125,0.0,0.5,0.0,3.5,6.375,0.695,6.375,8.0,14.375,1.875,2.625,0.25,3.25,6.875,2019,GF,"6-8",225,UCAM Murcia CB,Giessen,"2021 NBA Draft, Undrafted",MontenegroBosnia and Herzegovina,Spanish ACB
2020,C,45,Nick Spires,OBR,16.0,10.125,13.0,6.0,14.375,0.52375,0.0,0.5,0.0,0.875,3.25,0.3575,7.375,7.375,14.875,4.625,1.375,2.375,2.75,10.625,2019,F,"6-9",215,Monbus Obradoiro,Royal Tunbridge Wells,"2016 NBA Draft, Undrafted",EnglandSweden,Spanish ACB
2021,F,45,Nick Spires,BETIS,23.0,12.5,17.5,7.25,17.25,0.53,1.0,5.0,0.26375,1.875,2.625,0.875,5.75,8.625,14.375,2.875,1.25,2.375,2.875,9.125,2019,F,"6-9",215,Monbus Obradoiro,Royal Tunbridge Wells,"2016 NBA Draft, Undrafted",EnglandSweden,Spanish ACB
2021,G,1,Conner Frankamp,MUR,25.0,32.375,36.375,13.125,31.0,0.53125,5.625,15.25,0.4575,4.5,5.25,1.07125,1.0,4.0,5.0,8.125,2.0,0.5,4.125,4.75,2020,PG,"6-1",169,UCAM Murcia CB,Wichita (KS),"2018 NBA Draft, Undrafted",United StatesGeorgia,Spanish ACB
2024,G,27,Conner Frankamp,PAL,12.0,24.875,24.625,9.25,19.875,0.585,4.0,9.75,0.5125,2.0,2.5,1.0,0.5,3.25,3.75,6.5,2.0,0.0,2.5,6.5,2020,PG,"6-1",169,UCAM Murcia CB,Wichita (KS),"2018 NBA Draft, Undrafted",United StatesGeorgia,Spanish ACB
2021,G,2,Melo Trimble,MON,34.0,34.5,35.5,10.625,25.0,0.52875,4.125,12.5,0.415,10.125,11.75,1.08625,0.5,4.625,5.125,7.375,3.25,0.125,6.625,5.25,2019,G,"6-3",195,Movistar Estudiantes,Upper Marlboro (MD),"2017 NBA Draft, Undrafted",United States,Spanish ACB
2021,G,3,Frankie Ferrari,MAN,11.0,25.75,34.5,12.75,31.875,0.5,5.25,15.375,0.43125,3.75,4.0,1.16625,1.0,3.75,4.75,15.375,3.5,0.0,7.75,6.625,2019,G,"6-1",188,BAXI Manresa,Burlingame (CA),"2019 NBA Draft, Undrafted",United States,Spanish ACB
2021,G,24,Frankie Ferrari,GCN,12.0,23.75,24.25,8.75,23.5,0.46375,4.25,10.75,0.4875,2.625,3.125,1.04125,0.75,2.875,3.75,6.875,2.875,0.0,4.25,5.25,2019,G,"6-1",188,BAXI Manresa,Burlingame (CA),"2019 NBA Draft, Undrafted",United States,Spanish ACB
2023,G,18,Frankie Ferrari,MAN,22.0,20.375,26.625,9.75,25.25,0.48,4.0,11.875,0.4225,3.125,4.75,0.84875,0.625,5.75,6.375,14.25,3.5,0.0,7.875,7.75,2019,G,"6-1",188,BAXI Manresa,Burlingame (CA),"2019 NBA Draft, Undrafted",United States,Spanish ACB
2021,G,6,J.J. Barea,EST,18.0,28.5,33.25,11.375,31.625,0.45125,4.125,13.375,0.385,6.25,7.75,1.01375,0.875,3.25,4.125,12.5,2.375,0.0,6.125,7.0,2020,G,"5-10",180,Movistar Estudiantes,Mayaguez (PR),"2006 NBA Draft, Undrafted",Puerto RicoUnited States,Spanish ACB
2021,G,7,Dzherom Rendl,BETIS,22.0,20.625,32.5,12.25,28.375,0.5375,3.5,10.0,0.43,4.625,5.5,1.06,0.375,3.5,3.75,7.875,2.0,0.0,8.125,6.75,2019,G,"5-10",172,Urbas Fuenlabrada,Chicago (IL),"2010 NBA Draft, Undrafted",United StatesUkraine,Spanish ACB
2021,G,12,John Roberson,EST,31.0,27.5,30.5,10.25,24.375,0.52375,6.75,16.5,0.505,3.375,3.625,1.18875,0.625,2.875,3.375,8.125,1.375,0.125,3.625,5.25,2020,PG,"5-11",168,Movistar Estudiantes,Plano (TX),"2011 NBA Draft, Undrafted",United StatesBosnia and Herzegovina,Spanish ACB
2021,G,13,Johnny Dee,GBC,36.0,26.125,30.5,9.875,25.125,0.49375,6.875,17.125,0.5025,3.875,4.5,1.07125,0.875,4.5,5.375,3.25,2.375,0.125,4.125,6.625,2020,G,"6-0",185,Acunsa GBC,Denver (CO),"2015 NBA Draft, Undrafted",United States,Spanish ACB
2021,G,19,Jonathan Tabu,MAN,22.0,20.0,27.625,7.625,24.25,0.39625,5.25,16.5,0.4,7.0,8.0,1.09,1.0,4.375,5.5,13.25,2.75,0.0,9.375,8.125,2020,PG,"6-0",194,BAXI Manresa,Kinshasa,"2007 NBA Draft, Undrafted",Democratic Republic of the CongoBelgium,Spanish ACB
2021,G,20,Alex Renfroe,SPB,35.0,28.125,27.5,9.75,18.875,0.645,3.0,6.75,0.56875,5.0,6.5,0.945,1.75,6.0,7.75,13.125,2.625,0.5,6.125,6.0,2019,G,"6-2",160,Hereda San Pablo Burgos,Hermitage (TN),"2009 NBA Draft, Undrafted",United StatesBosnia and Herzegovina,Spanish ACB
