Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality,League
2023,F,29,Muhammet Senli,MERK,24.0,15.5,6.25,2.375,5.0,0.59875,0.25,0.875,0.2937499999999999,1.25,1.625,1.0075,1.875,1.875,3.75,0.5,0.375,0.375,0.875,2.625,2019,F,6-9,216,Bahcesehir Koleji,Van,"2014 NBA Draft, Undrafted",Turkey,Turkish BSL
2020,F,37,Tunahan Dikmen,OGA,10.0,6.875,1.625,0.75,2.25,0.41625,0.0,0.0,0.0,0.125,0.125,1.25,1.0,1.5,2.5,0.375,0.25,0.0,0.125,1.125,2019,FC,6-9,240,Ormanspor Genc Ankara,Altindag,"2016 NBA Draft, Undrafted",Turkey,Turkish BSL
2020,F,38,Burak Selen,ITU,18.0,10.375,1.625,0.625,2.125,0.375,0.125,1.375,0.13125,0.25,0.25,1.25,0.625,1.125,1.75,0.125,0.375,0.125,0.5,1.125,2019,F,6-8,210,Sigortam.net ITU Bakiroy,Kahramanmaras,"2010 NBA Draft, Undrafted",Turkey,Turkish BSL
2020,F,39,Hadi Ozdemir,BAHC,20.0,11.375,1.375,0.5,1.375,0.4549999999999999,0.0,0.375,0.0,0.375,0.75,0.625,1.0,1.5,2.5,0.5,0.25,0.125,0.375,2.0,2019,F,6-8,-,Bahcesehir Koleji,Sivas,"2005 NBA Draft, Undrafted",Turkey,Turkish BSL
2021,F,44,Hadi Ozdemir,BAHC,20.0,12.875,2.25,0.875,2.375,0.4599999999999999,0.25,1.0,0.3125,0.25,0.375,0.83375,1.125,1.75,2.875,1.125,0.5,0.0,0.5,1.875,2019,F,6-8,-,Bahcesehir Koleji,Sivas,"2005 NBA Draft, Undrafted",Turkey,Turkish BSL
2022,F,46,Hadi Ozdemir,BAHC,10.0,4.875,0.375,0.125,0.375,0.41625,0.0,0.125,0.0,0.125,0.25,0.625,0.125,0.875,1.0,0.0,0.0,0.0,0.375,1.75,2019,F,6-8,-,Bahcesehir Koleji,Sivas,"2005 NBA Draft, Undrafted",Turkey,Turkish BSL
2023,F,36,Hadi Ozdemir,BAHC,23.0,14.875,3.875,1.5,3.125,0.5825,0.25,1.125,0.2975,0.625,1.0,0.79,0.875,2.25,3.125,0.875,0.5,0.125,0.5,2.375,2019,F,6-8,-,Bahcesehir Koleji,Sivas,"2005 NBA Draft, Undrafted",Turkey,Turkish BSL
2020,C,1,Elmedin Kikanovic,OGA,19.0,38.5,24.125,9.625,17.0,0.71,0.0,0.125,0.0,4.75,7.25,0.8225,3.625,5.375,9.0,1.75,0.625,0.5,2.625,3.375,2019,C,6-10,240,Ormanspor Genc Ankara,Krasnoyarsk,"2010 NBA Draft, Undrafted",Bosnia and Herzegovina,Turkish BSL
2021,C,8,Elmedin Kikanovic,OGA,28.0,29.0,16.625,6.75,11.375,0.74,0.0,0.0,0.0,3.125,5.5,0.7062499999999999,2.75,3.5,6.25,1.75,0.5,0.5,2.0,2.625,2019,C,6-10,240,Ormanspor Genc Ankara,Krasnoyarsk,"2010 NBA Draft, Undrafted",Bosnia and Herzegovina,Turkish BSL
2020,C,4,Dwight Coleby,ITU,15.0,37.0,17.625,6.875,10.75,0.795,0.0,0.125,0.0,3.875,5.5,0.8899999999999999,4.375,4.875,9.25,1.125,0.375,0.5,2.625,2.875,2019,C,6-9,245,Sigortam.net ITU Bakiroy,New Providence,"2018 NBA Draft, Undrafted",Bahamas,Turkish BSL
2020,C,5,Talib Zanna,AFYO,23.0,37.75,17.0,6.375,12.125,0.665,0.125,0.25,0.625,4.125,7.25,0.705,3.875,7.5,11.375,2.125,1.625,0.125,3.5,4.0,2019,F,6-9,230,Afyonkarahisar Belediye,Kaduna,"2014 NBA Draft, Undrafted",Nigeria,Turkish BSL
2020,C,6,Robert Upshaw,DEM,19.0,33.375,16.125,7.0,12.75,0.68625,0.0,0.25,0.0,2.125,3.75,0.7237499999999999,2.875,7.125,9.875,1.5,0.25,1.375,3.375,3.0,2019,C,7-0,250,Demir Insaat Buyukcekmece,Fresno (CA),"2015 NBA Draft, Undrafted",United States,Turkish BSL
2020,C,7,Mangok Mathiang,BAHC,18.0,41.625,15.875,6.125,11.25,0.6787500000000001,0.0,0.375,0.0,3.625,5.375,0.8487500000000001,3.75,9.5,13.25,2.125,1.375,1.75,2.125,3.25,2019,C,6-10,230,Bahcesehir Koleji,Melbourne,"2017 NBA Draft, Undrafted",AustraliaSouth Sudan,Turkish BSL
2020,C,9,Moustapha Fall,TUR,22.0,32.875,15.0,6.25,7.75,1.00375,0.0,0.0,0.0,2.5,4.375,0.73,3.5,6.75,10.25,2.625,0.625,1.875,2.5,3.25,2019,F,7-2,235,Turk Telekom,Paris,"2014 NBA Draft, Undrafted",France,Turkish BSL
2020,C,10,Tibor Pleiss,EFE,15.0,27.875,14.25,6.25,10.125,0.775,0.25,0.625,0.53625,1.5,1.75,1.07125,3.125,5.125,8.25,0.75,0.75,0.625,1.875,2.75,2019,C,7-3,256,Anadolu Efes,Bergisch Gladbach,2010 Rnd 2 Pick 1,Germany,Turkish BSL
