Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Gorkem Dogan,C,6-10,-,Pinar Karsiyaka,Bodrum,"2020 NBA Draft, Undrafted",Turkey
2019,Doruk Dora,G,6-4,192,Darussafaka Basketbol Istanbul,Sisli,"2021 NBA Draft, Undrafted",Turkey
2019,Bryant Dunston,C,6-8,233,Anadolu Efes,Queens (NY),"2008 NBA Draft, Undrafted",United StatesArmenia
2019,Berkan Durmaz,F,6-9,200,Tofas SC,Osmangazi,"2019 NBA Draft, Undrafted",Turkey
2019,Ahmet Duverioglu,C,7-0,250,Fenerbahce Beko,Istanbul,"2015 NBA Draft, Undrafted",TurkeyJordan
2019,Safak Edge,G,6-2,186,Turk Telekom,Dursunbey,"2014 NBA Draft, Undrafted",Turkey
2019,Osiris Eldridge,G,6-3,190,Demir Insaat Buyukcekmece,Chicago (IL),"2010 NBA Draft, Undrafted",United States
2019,Dorukhan Engindeniz,G,6-4,-,Ormanspor Genc Ankara,N/A,"2014 NBA Draft, Undrafted",Turkey
2019,Tyler Ennis,G,6-3,182,Turk Telekom,Brampton,2014 Rnd 1 Pick 18,Canada
2019,Caner Ercan,F,6-9,-,Ormanspor Genc Ankara,Istanbul,"2008 NBA Draft, Undrafted",Turkey
2019,Atakan Erdek,G,6-4,204,Teksut Bandirma,Aydin,"2023 NBA Draft, Undrafted",Turkey
2019,Semih Erden,C,7-0,240,Pinar Karsiyaka,Istanbul,2008 Rnd 2 Pick 30,Turkey
2019,Caner Erdeniz,G,6-6,215,Galatasaray,Izmir,"2009 NBA Draft, Undrafted",Turkey
2019,Arda Erdogan,G,6-2,184,Demir Insaat Buyukcekmece,Sisli,"2021 NBA Draft, Undrafted",Turkey
2019,Micheal Eric,FC,6-11,240,Turk Telekom,Lagos,"2012 NBA Draft, Undrafted",Nigeria
2019,Baris Erlim,G,6-0,185,Ormanspor Genc Ankara,Istanbul,"2012 NBA Draft, Undrafted",Turkey
2019,Baris Ermis,G,6-4,195,Tofas SC,Istanbul,"2007 NBA Draft, Undrafted",Turkey
2019,Erbil Eroglu,G,6-5,187,Bursaspor,Sisli,"2015 NBA Draft, Undrafted",Turkey
2019,Altan Erol,G,6-5,205,Bahcesehir Koleji,Bursa,"2005 NBA Draft, Undrafted",Turkey
2019,Burak Eslik,G,6-4,185,Afyonkarahisar Belediye,Istanbul,"2017 NBA Draft, Undrafted",Turkey
2019,Moustapha Fall,F,7-2,235,Turk Telekom,Paris,"2014 NBA Draft, Undrafted",France
2019,Allerik Freeman,G,6-3,200,Bursaspor,Charlotte (NC),"2018 NBA Draft, Undrafted",United States
2019,Tolga Gecim,G,6-8,200,Anadolu Efes,Seyhan,"2018 NBA Draft, Undrafted",Turkey
2019,Tugberk Gedikli,G,6-4,210,Bursaspor,Bursa,"2013 NBA Draft, Undrafted",Turkey
2019,Samet Geyik,F,6-9,210,Besiktas Icrypex,Manisa,"2015 NBA Draft, Undrafted",Turkey
2019,Hasan Emir Gokalp,G,6-1,175,Galatasaray,Izmir,"2017 NBA Draft, Undrafted",Turkey
2019,Mustafa Gokdogan,F,6-4,-,Pinar Karsiyaka,N/A,"2022 NBA Draft, Undrafted",Turkey
2019,Murat Goktas,F,6-6,210,Royal Hali Gaziantep,Antalya,"2009 NBA Draft, Undrafted",Turkey
2019,Trae Golden,G,6-2,205,Bahcesehir Koleji,Powder Springs (GA),"2014 NBA Draft, Undrafted",United States
2019,Sabahattin Gondur,G,6-1,-,Besiktas Icrypex,N/A,"2017 NBA Draft, Undrafted",Turkey
2019,Kerem Gonlum,FC,6-9,255,Sigortam.net ITU Bakiroy,Eskisehir,"1999 NBA Draft, Undrafted",Turkey
2019,Archie Goodwin,G,6-5,205,Sigortam.net ITU Bakiroy,Little Rock (AR),2013 Rnd 1 Pick 29,United States
2019,Toddrick Gotcher,G,6-4,200,Besiktas Icrypex,Garland (TX),"2016 NBA Draft, Undrafted",United States
2019,Burak Gozeneli,G,5-11,-,Turk Telekom,Altindag,"2022 NBA Draft, Undrafted",Turkey
2019,Gani Erdi Gulaslan,F,6-8,205,Turk Telekom,Izmit,"2016 NBA Draft, Undrafted",Turkey
2019,Sinan Guler,G,6-4,210,Darussafaka Basketbol Istanbul,Istanbul,"2005 NBA Draft, Undrafted",Turkey
2019,Abdulkadir Gulsen,C,6-8,-,Bahcesehir Koleji,Istanbul,"2023 NBA Draft, Undrafted",Turkey
2019,Egemen Guven,C,6-10,220,Turk Telekom,Konak,"2018 NBA Draft, Undrafted",Turkey
2019,Orhan Haciyeva,F,6-6,242,Royal Hali Gaziantep,Baku,"2011 NBA Draft, Undrafted",Azerbaijan
2019,Jamelle Hagins,F,6-9,230,Royal Hali Gaziantep,Roanoke (VA),"2013 NBA Draft, Undrafted",United States
2019,Ahmet Hakan Oge,-,-,-,Teksut Bandirma,Selcuklu,2024 NBA Draft Eligible,Turkey
2019,Furkan Haltali,C,6-10,210,Teksut Bandirma,Selcuklu,2024 NBA Draft Eligible,Turkey
2019,Johnny Hamilton,C,7-0,230,Darussafaka Basketbol Istanbul,Jacksonville (TX),"2018 NBA Draft, Undrafted",United States
2019,Dwight Hardy,G,6-2,196,Bahcesehir Koleji,Bronx (NY),"2011 NBA Draft, Undrafted",United States
2019,C.J. Harris,G,6-3,190,Turk Telekom,Winston-Salem (NC),"2013 NBA Draft, Undrafted",United States
2019,Aaron Harrison,GF,6-6,210,Galatasaray,Richmond (TX),"2015 NBA Draft, Undrafted",United States
2019,Kenny Hayes,G,6-2,175,Demir Insaat Buyukcekmece,Dayton (OH),"2010 NBA Draft, Undrafted",United States
2019,Sehmus Hazer,G,6-4,190,Teksut Bandirma,Batman,"2021 NBA Draft, Undrafted",Turkey
2019,Lavone Holland II,G,6-2,180,Sigortam.net ITU Bakiroy,Louisville (KY),"2018 NBA Draft, Undrafted",United States
2019,Ugur Hortum,C,6-11,240,Demir Insaat Buyukcekmece,Istanbul,"2017 NBA Draft, Undrafted",United States
2019,Gregor Hrovat,GF,6-5,192,Afyonkarahisar Belediye,Koper,"2016 NBA Draft, Undrafted",Slovenia
2019,Cole Huff,F,6-8,220,Sigortam.net ITU Bakiroy,Altadena (CA),"2017 NBA Draft, Undrafted",United States
2019,Ian Hummer,F,6-7,225,Teksut Bandirma,Vienna (VA),"2013 NBA Draft, Undrafted",United States
2019,R.J. Hunter,G,6-4,185,Turk Telekom,Indianapolis (IN),2015 Rnd 1 Pick 28,United States
2019,Omer Ilyasoglu,G,6-5,188,Anadolu Efes,Silivri,"2023 NBA Draft, Undrafted",Turkey
2019,Cengizhan Ivedi,F,6-5,-,Demir Insaat Buyukcekmece,N/A,"2021 NBA Draft, Undrafted",Turkey
2019,Ra'Shad James,G,6-1,195,Ormanspor Genc Ankara,White Plains (NY),"2013 NBA Draft, Undrafted",United States
2019,Stevan Jelovac,F,6-10,245,Royal Hali Gaziantep,Novi Sad,"2011 NBA Draft, Undrafted",Serbia
2019,JaJuan Johnson,FC,6-10,220,Bahcesehir Koleji,Indianapolis (IN),2011 Rnd 1 Pick 27,United StatesGermany
2019,Nick Johnson,G,6-3,200,Turk Telekom,Gilbert (AZ),2014 Rnd 2 Pick 12,United States
2019,Chris Jones,G,6-2,200,Bursaspor,Garland (TX),"2015 NBA Draft, Undrafted",United StatesArmenia
2019,Jamal Jones,F,6-8,196,Bahcesehir Koleji,Searcy (AR),"2015 NBA Draft, Undrafted",United States
2019,Jarrod Jones,F,6-9,230,Darussafaka Basketbol Istanbul,Michigan City (IN),"2012 NBA Draft, Undrafted",United StatesHungary
2019,Lazeric Jones,G,6-0,185,Galatasaray,Chicago (IL),"2012 NBA Draft, Undrafted",United States
2019,Perry Jones,F,6-11,235,Bursaspor,Winnsboro (LA),2012 Rnd 1 Pick 28,United States
2019,Sadik Kabaca,C,6-10,215,Teksut Bandirma,Izmir,"2022 NBA Draft, Undrafted",Turkey
2019,Kenneth Kadji,C,6-11,242,Turk Telekom,Douala,"2013 NBA Draft, Undrafted",CameroonUnited States
2019,Nikola Kalinic,F,6-8,222,Fenerbahce Beko,Subotica,"2013 NBA Draft, Undrafted",Serbia
2019,Tyler Kalinoski,G,6-4,189,Teksut Bandirma,Olathe (KS),"2015 NBA Draft, Undrafted",United States
2019,Ismail Karabilen,F,6-8,195,Fenerbahce Beko,Istanbul,"2023 NBA Draft, Undrafted",Turkey
2019,Hasan Karabulut,F,6-8,-,Ormanspor Genc Ankara,Sivas,"2006 NBA Draft, Undrafted",Turkey
2019,Anil Karaca,F,6-4,-,Teksut Bandirma,N/A,2024 NBA Draft Eligible,Turkey
2019,Alp Karahan,G,6-4,196,Pinar Karsiyaka,Ankara,"2020 NBA Draft, Undrafted",Turkey
2019,Polat Kaya,F,6-6,216,Turk Telekom,Gaziosmanpasa,"2008 NBA Draft, Undrafted",Turkey
2019,Cagdas Kayabasi,F,6-6,-,Besiktas Icrypex,Malatya,"2022 NBA Draft, Undrafted",Turkey
2019,D.J. Kennedy,GF,6-6,215,Pinar Karsiyaka,Pittsburgh (PA),"2011 NBA Draft, Undrafted",United States
2019,Elmedin Kikanovic,C,6-10,240,Ormanspor Genc Ankara,Krasnoyarsk,"2010 NBA Draft, Undrafted",Bosnia and Herzegovina
2019,Deniz Kilicli,F,6-9,260,Demir Insaat Buyukcekmece,Istanbul,"2013 NBA Draft, Undrafted",Turkey
2019,Charlon Kloof,G,6-3,195,Ormanspor Genc Ankara,Paramaribo,"2014 NBA Draft, Undrafted",Republic of SurinameNetherlands
2019,Goksenin Koksal,GF,6-5,190,Galatasaray,Tonya,"2013 NBA Draft, Undrafted",Turkey
2019,Mert Konuk,G,6-4,196,Tofas SC,Nilufer,"2022 NBA Draft, Undrafted",Turkey
