Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2021,T.J. Gibbs,G,6-3,185,Krka Novo Mesto,Scotch Plains (NJ),"2020 NBA Draft, Undrafted",United States
2021,Gregor Glas,F,6-6,179,KK Partizan,Novo Mesto,"2023 NBA Draft, Undrafted",Slovenia
2021,Andrija Grbovic,F,6-8,185,KK Mega Bemax,N/A,2025 NBA Draft Eligible,Montenegro
2021,Marko Gusic,-,6-6,187,KK Crvena Zvezda,Belgrade,2024 NBA Draft Eligible,Serbia
2021,Blaz Habot,C,6-10,272,KK Cedevita Olimpija Ljubljana,Maribor,"2022 NBA Draft, Undrafted",Slovenia
2021,Emir Hadzibegovic,F,6-9,232,Studentski Centar Podgorica,Bijelo Polje,"2018 NBA Draft, Undrafted",Montenegro
2021,Hunter Hale,G,6-3,165,KK Borac Cacak,Kalamazoo (MI),"2020 NBA Draft, Undrafted",United States
2021,Kevon Harris,F,6-5,216,KK Zadar,Lithonia (GA),"2020 NBA Draft, Undrafted",United States
2021,Austin Hollins,G,6-4,183,KK Crvena Zvezda,Chandler (AZ),"2014 NBA Draft, Undrafted",United States
2021,Danilo Ivanovic,G,6-0,-,Studentski Centar Podgorica,N/A,2025 NBA Draft Eligible,Montenegro
2021,Tomislav Ivisic,F,7-0,230,Studentski Centar Podgorica,N/A,2025 NBA Draft Eligible,Croatia
2021,Zvonimir Ivisic,C,7-2,220,Studentski Centar Podgorica,N/A,2027 NBA Draft Eligible,Croatia
2021,Shawn Jones,F,6-8,240,KK Split,Hialeah (FL),"2014 NBA Draft, Undrafted",United StatesKosovo
2021,Josip Jukic,C,6-10,222,KK Split,Split,"2018 NBA Draft, Undrafted",Croatia
2021,Filip Kalajzic,F,6-9,-,KK Cibona,N/A,2025 NBA Draft Eligible,Croatia
2021,Nikola Kalinic,F,6-8,222,KK Crvena Zvezda,Subotica,"2013 NBA Draft, Undrafted",Serbia
2021,Kenan Kamenjas,C,6-10,228,Studentski Centar Podgorica,Sarajevo,"2022 NBA Draft, Undrafted",Bosnia and Herzegovina
2021,Marcus Keene,G,5-11,160,KK Cedevita Olimpija Ljubljana,San Antonio (TX),"2017 NBA Draft, Undrafted",United States
2021,Krsevan Klarica,F,6-5,-,KK Zadar,N/A,2025 NBA Draft Eligible,Croatia
2021,Jaka Klobucar,F,6-7,-,Krka Novo Mesto,Novo Mesto,2025 NBA Draft Eligible,Slovenia
2021,Balsa Koprivica,C,7-1,240,KK Partizan,Fort Lauderdale (FL),2021 Rnd 2 Pick 27,United StatesSerbia
2021,Filip Kordelic,-,-,-,KK Cedevita Olimpija Ljubljana,N/A,2027 NBA Draft Eligible,Slovenia
2021,Maj Kovacevic,G,6-3,188,KK Split,Novo Mesto,"2012 NBA Draft, Undrafted",Slovenia
2021,Petar Kovacevic,F,6-8,-,KK Mega Bemax,Belgrade,2024 NBA Draft Eligible,Serbia
2021,Luka Krajnovic,F,6-5,185,KK Cibona,Zagreb,2027 NBA Draft Eligible,Croatia
2021,Rodions Kurucs,F,6-9,230,KK Partizan,Cesis,2018 Rnd 2 Pick 10,Latvia
2021,Danilo Labovic,G,6-3,-,KK Mega Bemax,N/A,2025 NBA Draft Eligible,Serbia
2021,Stefan Lakic,G,6-7,220,FMP Beograd,Uzice,"2019 NBA Draft, Undrafted",SerbiaBosnia and Herzegovina
2021,Miha Lapornik,G,6-4,203,Krka Novo Mesto,Celje,"2015 NBA Draft, Undrafted",Slovenia
2021,Zach LeDay,F,6-7,230,KK Partizan,The Colony (TX),"2017 NBA Draft, Undrafted",United StatesAzerbaijan
2021,Mathias Lessort,F,6-9,250,KK Partizan,Fort-de-France,2017 Rnd 2 Pick 20,France
2021,Trey Lewis,G,6-2,185,KK Mornar,Garfield Heights (OH),"2016 NBA Draft, Undrafted",United States
2021,Yam Madar,G,6-3,180,KK Partizan,Beit Dagan,2020 Rnd 2 Pick 17,Israel
2021,Ivan Majcunic,G,6-4,-,KK Cibona,Zagreb,"2018 NBA Draft, Undrafted",Croatia
2021,Stefan Markovic,G,6-6,215,KK Crvena Zvezda,Belgrade,"2010 NBA Draft, Undrafted",Serbia
2021,Tre McLean,GF,6-5,195,KK Split,Charleston (SC),"2017 NBA Draft, Undrafted",United States
2021,Vladimir Micov,F,6-7,225,Buducnost,Belgrade,"2007 NBA Draft, Undrafted",Serbia
2021,Strahinja Micovic,F,6-9,231,KK Mornar,Belgrade,"2014 NBA Draft, Undrafted",Serbia
2021,Vladimir Mihailovic,G,6-4,190,KK Mornar,Cetinje,"2012 NBA Draft, Undrafted",Montenegro
2021,Milija Mikovic,FC,6-8,220,KK Mornar,Bar,"2016 NBA Draft, Undrafted",Montenegro
2021,Petar Minic,G,6-1,-,Studentski Centar Podgorica,N/A,2026 NBA Draft Eligible,Montenegro
2021,David Mirkovic,F,6-9,200,Studentski Centar Podgorica,N/A,2028 NBA Draft Eligible,Montenegro
2021,Dallas Moore,G,6-1,180,KK Partizan,St. Petersburg (FL),"2017 NBA Draft, Undrafted",United StatesAlbania
2021,Clay Nagode,-,-,-,KK Cedevita Olimpija Ljubljana,N/A,"2022 NBA Draft, Undrafted",Slovenia
2021,Erick Neal,G,5-10,155,Studentski Centar Podgorica,Dallas (TX),"2018 NBA Draft, Undrafted",United States
2021,Garrett Nevels,G,6-2,190,FMP Beograd,Los Angeles (CA),"2015 NBA Draft, Undrafted",United States
2021,Alen Omic,C,7-2,225,KK Cedevita Olimpija Ljubljana,Tuzla,"2012 NBA Draft, Undrafted",Bosnia and HerzegovinaSlovenia
2021,Luka Paunovic,G,6-6,-,KK Mega Bemax,Uzice,2024 NBA Draft Eligible,Serbia
2021,Nikola Pavlicevic,G,6-4,177,Studentski Centar Podgorica,Niksic,"2010 NBA Draft, Undrafted",Montenegro
2021,Dejan Pavlovic,G,6-4,190,BC Igokea,Banja Luka,2025 NBA Draft Eligible,Bosnia and HerzegovinaSerbia
2021,Josip Popic,C,6-9,207,KK Cibona,Graz,"2020 NBA Draft, Undrafted",Austria
2021,Lazar Radetic,C,6-7,-,Studentski Centar Podgorica,N/A,2025 NBA Draft Eligible,Montenegro
2021,Gligorije Rakocevic,C,6-11,255,KK Mornar,Bijelo Polje,"2019 NBA Draft, Undrafted",Montenegro
