Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality
2021,F,32,Milenko Tepic,MEG,24,31.875,14.75,5.75,15.75,0.46125,1.625,6.875,0.3037499999999999,1.5,2.375,0.78125,1.125,6.0,7.125,9.25,1.125,0.0,2.75,4.375,Adriatic ABA,2020,F,6-6,212,KK Mega Bemax,Belgrade,"2009 NBA Draft, Undrafted",Serbia
2021,F,33,Pavle Marcinkovic,SPL,23,37.125,14.375,4.875,12.75,0.47375,2.5,7.25,0.4362499999999999,2.125,2.875,0.90875,2.5,7.375,10.0,4.125,3.125,0.75,2.875,4.625,Adriatic ABA,2020,F,6-5,196,KK Split,Zadar,"2011 NBA Draft, Undrafted",Croatia
2022,F,33,Pavle Marcinkovic,ZAD,23,30.625,14.75,5.625,13.375,0.52625,2.25,7.75,0.36,1.25,2.5,0.6525000000000001,1.75,5.625,7.5,3.25,2.375,0.25,2.5,5.375,Adriatic ABA,2020,F,6-5,196,KK Split,Zadar,"2011 NBA Draft, Undrafted",Croatia
2021,F,35,Ivan Perasovic,SPL,18,15.25,7.875,2.75,8.75,0.39125,1.125,4.125,0.33375,1.375,2.5,0.6950000000000001,1.375,5.125,6.5,2.125,0.5,0.5,2.75,6.75,Adriatic ABA,2020,F,6-7,198,KK Split,Split,2024 NBA Draft Eligible,Croatia
2023,F,25,Ivan Perasovic,CIB,25,17.5,16.375,6.375,12.25,0.65125,1.25,5.0,0.30125,2.375,2.625,1.16625,2.25,5.0,7.25,2.75,1.75,1.375,1.0,5.5,Adriatic ABA,2020,F,6-7,198,KK Split,Split,2024 NBA Draft Eligible,Croatia
2024,F,23,Ivan Perasovic,CIB,23,20.625,16.25,6.375,12.75,0.6174999999999999,2.25,6.5,0.42625,1.375,2.25,0.80375,3.625,4.875,8.5,2.875,0.5,1.25,1.875,7.375,Adriatic ABA,2020,F,6-7,198,KK Split,Split,2024 NBA Draft Eligible,Croatia
2021,F,2,Karlo Matkovic,MEG,18,13.25,34.375,15.5,22.375,0.8624999999999999,0.0,0.0,0.0,3.5,5.0,0.8599999999999999,6.625,12.375,19.0,0.375,1.25,5.0,6.375,11.375,Adriatic ABA,2020,F,6-10,231,KK Mega Bemax,Livno,2022 Rnd 2 Pick 22,Bosnia and HerzegovinaCroatia
2022,F,3,Karlo Matkovic,MEG,25,27.5,31.5,13.125,21.625,0.7575,0.0,0.375,0.0,5.375,7.5,0.8875,7.375,9.125,16.625,3.0,1.25,3.0,4.375,8.375,Adriatic ABA,2020,F,6-10,231,KK Mega Bemax,Livno,2022 Rnd 2 Pick 22,Bosnia and HerzegovinaCroatia
2023,F,6,Karlo Matkovic,COL,24,20.75,32.25,13.75,18.875,0.91,0.0,0.125,0.0,4.875,7.375,0.81625,3.625,8.875,12.5,1.625,1.25,4.375,3.625,10.25,Adriatic ABA,2020,F,6-10,231,KK Mega Bemax,Livno,2022 Rnd 2 Pick 22,Bosnia and HerzegovinaCroatia
2024,C,3,Karlo Matkovic,COL,17,35.5,32.875,14.0,22.125,0.79375,1.25,3.375,0.4625,3.625,5.5,0.82375,3.875,11.375,15.25,1.625,2.75,5.875,2.625,5.375,Adriatic ABA,2020,F,6-10,231,KK Mega Bemax,Livno,2022 Rnd 2 Pick 22,Bosnia and HerzegovinaCroatia
2021,F,3,Marko Lukovic,SPL,23,36.75,31.125,10.125,24.5,0.51625,3.375,10.125,0.41625,7.5,10.375,0.9075,2.5,6.875,9.375,4.125,0.75,0.75,5.0,5.0,Adriatic ABA,2019,F,6-10,192,Sixt Primorska,Belgrade,"2014 NBA Draft, Undrafted",Serbia
2021,F,4,Eric Mika,PAR,17,19.875,29.75,12.0,18.375,0.81375,0.625,0.875,0.9375,5.125,7.5,0.8450000000000001,5.75,6.875,12.625,3.5,1.75,0.875,5.375,9.75,Adriatic ABA,2020,F,6-10,251,KK Partizan,Alpine (UT),"2017 NBA Draft, Undrafted",United States
2021,F,5,Jure Skific,KRK,23,26.5,28.0,11.375,22.375,0.63875,3.75,9.125,0.5237499999999999,1.375,2.125,0.8087500000000001,2.625,7.125,9.75,3.625,1.75,0.125,3.5,7.375,Adriatic ABA,2020,F,6-8,210,Krka Novo Mesto,Zadar,"2010 NBA Draft, Undrafted",Croatia
2021,F,6,Jarrod Jones,COL,24,30.75,27.25,9.625,20.0,0.6025,5.5,12.375,0.55375,2.375,3.125,0.9675,1.25,7.875,9.0,2.375,1.25,0.25,1.875,5.375,Adriatic ABA,2020,F,6-9,230,KK Cedevita Olimpija Ljubljana,Michigan City (IN),"2012 NBA Draft, Undrafted",United StatesHungary
2021,F,10,Nemanja Popovic,FMP,15,7.75,24.75,11.0,22.125,0.625,2.0,7.125,0.34125,0.625,3.25,0.25,3.875,5.875,9.75,2.625,0.625,0.625,2.0,10.375,Adriatic ABA,2019,F,6-8,218,FMP Beograd,Arandelovac,"2023 NBA Draft, Undrafted",Serbia
2021,F,12,Anthony Smith,BOR,24,21.125,24.0,9.125,17.0,0.6737500000000001,0.625,3.875,0.1925,5.125,7.875,0.8250000000000001,5.25,8.125,13.375,2.375,1.375,1.75,5.125,6.5,Adriatic ABA,2020,F,6-7,225,KK Borac Cacak,Suitland (MD),"2020 NBA Draft, Undrafted",United States
2021,F,14,Taylor Smith,MOR,26,30.0,23.625,10.625,14.375,0.925,0.0,0.0,0.0,2.25,5.0,0.5775,4.125,8.5,12.625,2.25,2.625,4.75,2.875,5.875,Adriatic ABA,2020,F,6-6,215,KK Mornar,Schertz (TX),"2013 NBA Draft, Undrafted",United States
2022,F,34,Taylor Smith,MOR,25,32.375,19.0,8.75,12.25,0.8925,0.0,0.0,0.0,1.375,3.375,0.52125,3.5,9.0,12.5,5.875,3.75,3.25,1.875,5.75,Adriatic ABA,2020,F,6-6,215,KK Mornar,Schertz (TX),"2013 NBA Draft, Undrafted",United States
2021,F,17,Ivan Gavrilovic,BOR,15,14.125,22.25,7.75,18.375,0.5287499999999999,4.625,13.375,0.4275,2.125,2.875,0.9375,3.5,10.25,13.75,2.125,1.375,1.375,1.375,6.75,Adriatic ABA,2020,F,6-8,220,KK Borac Cacak,Cacak,"2018 NBA Draft, Undrafted",Serbia
2021,F,18,Kenny Gabriel,MOR,26,25.0,22.25,7.25,15.5,0.5874999999999999,4.375,9.875,0.5525,3.375,5.125,0.82375,1.375,7.0,8.375,2.125,1.125,0.5,1.75,7.0,Adriatic ABA,2020,F,6-9,218,KK Mornar,Charlotte (NC),"2012 NBA Draft, Undrafted",United States
2021,F,20,Luka Mitrovic,BUD,24,14.75,21.875,9.125,14.875,0.7675,0.0,0.0,0.0,3.625,4.625,0.96625,4.0,12.25,16.375,4.875,1.5,0.625,3.875,6.625,Adriatic ABA,2020,F,6-8,200,Buducnost,Novi Sad,2015 Rnd 2 Pick 30,Serbia
2022,F,6,Luka Mitrovic,ZVE,34,22.125,29.0,11.125,18.5,0.7525,0.125,0.25,0.625,6.625,8.75,0.95125,5.125,10.25,15.375,4.875,2.25,0.625,5.25,7.75,Adriatic ABA,2020,F,6-8,200,Buducnost,Novi Sad,2015 Rnd 2 Pick 30,Serbia
2023,F,9,Luka Mitrovic,ZVE,33,22.125,31.25,12.25,18.375,0.83125,0.0,0.0,0.0,6.75,9.625,0.8775,5.5,7.875,13.375,6.25,2.375,0.875,4.75,7.625,Adriatic ABA,2020,F,6-8,200,Buducnost,Novi Sad,2015 Rnd 2 Pick 30,Serbia
2024,F,2,Luka Mitrovic,ZVE,24,21.0,35.25,14.5,20.875,0.86625,0.0,0.875,0.0,6.375,9.625,0.8275,3.75,10.625,14.25,7.875,2.625,0.75,4.375,6.75,Adriatic ABA,2020,F,6-8,200,Buducnost,Novi Sad,2015 Rnd 2 Pick 30,Serbia
2021,F,22,Mateo Kedzo,SPL,18,11.0,21.5,8.625,17.0,0.63875,1.875,3.0,0.78125,2.25,3.75,0.75,1.5,6.75,8.25,4.125,1.5,0.0,4.125,11.75,Adriatic ABA,2020,F,6-9,251,KK Split,Split,"2006 NBA Draft, Undrafted",Croatia
2022,F,32,Mateo Kedzo,SPL,17,13.0,19.625,7.125,22.0,0.40375,0.625,4.0,0.20875,4.75,6.125,0.9725,3.0,8.75,11.875,3.75,0.625,0.0,4.375,9.5,Adriatic ABA,2020,F,6-9,251,KK Split,Split,"2006 NBA Draft, Undrafted",Croatia
2021,F,23,Nenad Nerandzic,BOR,23,29.125,20.75,7.375,16.25,0.56875,2.25,5.875,0.47125,3.75,5.125,0.92375,2.75,8.875,11.625,5.25,3.0,0.625,4.0,7.375,Adriatic ABA,2020,FC,6-8,-,KK Borac Cacak,Belgrade,"2018 NBA Draft, Undrafted",Serbia
2022,C,17,Nenad Nerandzic,FMP,28,30.75,20.875,7.375,17.25,0.53625,1.875,5.25,0.4375,4.25,5.875,0.91375,2.875,8.875,11.75,3.75,2.125,1.25,3.875,6.5,Adriatic ABA,2020,FC,6-8,-,KK Borac Cacak,Belgrade,"2018 NBA Draft, Undrafted",Serbia
2023,F,15,Nenad Nerandzic,FMP,9,20.625,27.125,7.25,14.125,0.6425000000000001,1.625,4.875,0.41625,11.0,14.625,0.9375,3.625,10.5,14.125,5.25,1.25,2.375,4.0,11.0,Adriatic ABA,2020,FC,6-8,-,KK Borac Cacak,Belgrade,"2018 NBA Draft, Undrafted",Serbia
2023,F,30,Nenad Nerandzic,IGO,13,19.875,20.25,7.5,19.75,0.4775,1.75,7.0,0.3125,3.5,4.625,0.9375,2.875,10.375,13.375,3.75,2.625,0.25,4.875,9.25,Adriatic ABA,2020,FC,6-8,-,KK Borac Cacak,Belgrade,"2018 NBA Draft, Undrafted",Serbia
2021,F,25,Aleksandar Bursac,ZAD,23,30.0,20.5,8.75,15.125,0.72875,1.25,2.875,0.555,1.5,3.875,0.48625,2.125,5.75,7.875,2.75,1.25,0.375,3.5,5.375,Adriatic ABA,2020,F,6-8,205,KK Zadar,Ruma,"2017 NBA Draft, Undrafted",Serbia
