Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality
2024,G,3,Lukas Lekavicius,ZAL,22,21.75,34.5,12.875,22.875,0.7025000000000001,4.75,9.125,0.64625,4.125,4.875,1.04875,0.75,3.0,3.75,10.5,2.25,0.0,4.5,5.0,Lithuanian LKL,2019,G,6-0,167,Zalgiris,Silale,"2016 NBA Draft, Undrafted",Lithuania
2020,G,11,Tu Holloway,LIE,22,26.75,21.375,7.25,18.375,0.495,1.5,6.375,0.3,5.375,5.875,1.14125,0.25,4.875,5.125,12.0,2.25,0.125,3.125,5.5,Lithuanian LKL,2019,G,6-0,190,Lietuvos Rytas,Hempstead (NY),"2012 NBA Draft, Undrafted",United States
2020,G,13,Zygimantas Janavicius,NEP,22,30.75,20.5,7.625,19.375,0.4925,2.125,7.75,0.33875,3.125,4.75,0.81375,0.5,5.125,5.625,15.0,2.75,0.0,5.375,5.25,Lithuanian LKL,2019,G,6-3,176,Neptunas,Alytus,"2011 NBA Draft, Undrafted",Lithuania
2021,G,16,Zygimantas Janavicius,NEP,32,32.5,21.625,8.25,18.125,0.5725,2.0,7.375,0.33125,3.125,4.125,0.94875,1.5,6.375,7.875,15.25,3.125,0.125,6.375,5.0,Lithuanian LKL,2019,G,6-3,176,Neptunas,Alytus,"2011 NBA Draft, Undrafted",Lithuania
2022,G,17,Zygimantas Janavicius,NEP,32,33.25,23.0,8.375,18.625,0.56375,1.875,6.5,0.3662499999999999,4.25,6.0,0.8825,1.125,6.375,7.5,15.5,2.375,0.0,6.375,5.25,Lithuanian LKL,2019,G,6-3,176,Neptunas,Alytus,"2011 NBA Draft, Undrafted",Lithuania
2023,G,25,Zygimantas Janavicius,NEP,32,31.0,21.875,8.25,19.375,0.5325,2.0,7.5,0.32875,3.375,4.375,0.97,1.625,5.125,6.75,14.5,2.375,0.0,5.875,5.375,Lithuanian LKL,2019,G,6-3,176,Neptunas,Alytus,"2011 NBA Draft, Undrafted",Lithuania
2024,G,21,Zygimantas Janavicius,NEP,27,30.875,19.25,7.25,15.0,0.59875,1.5,4.625,0.40875,3.25,5.0,0.8187500000000001,0.875,4.375,5.375,15.5,2.75,0.125,5.5,5.625,Lithuanian LKL,2019,G,6-3,176,Neptunas,Alytus,"2011 NBA Draft, Undrafted",Lithuania
2020,G,14,Marius Valinskas,TEC,21,10.875,19.25,7.25,17.625,0.5087499999999999,3.25,8.5,0.48125,1.625,2.625,0.78125,0.625,1.25,2.0,7.5,2.625,0.0,2.625,4.875,Lithuanian LKL,2019,G,6-3,163,Lietkabelis,Kaunas,"2021 NBA Draft, Undrafted",Lithuania
2021,G,18,Marius Valinskas,TEC,36,13.375,20.75,7.75,15.75,0.61875,3.625,8.0,0.56375,1.5,2.625,0.735,1.125,1.875,3.0,6.875,2.5,0.125,4.375,5.75,Lithuanian LKL,2019,G,6-3,163,Lietkabelis,Kaunas,"2021 NBA Draft, Undrafted",Lithuania
2022,G,11,Marius Valinskas,KED,27,28.625,26.5,9.625,22.5,0.53375,3.75,10.875,0.4349999999999999,3.625,4.5,0.98375,0.75,4.0,4.75,8.625,1.5,0.25,4.125,3.5,Lithuanian LKL,2019,G,6-3,163,Lietkabelis,Kaunas,"2021 NBA Draft, Undrafted",Lithuania
2023,G,23,Marius Valinskas,KED,34,34.375,23.875,8.125,19.75,0.515,2.625,7.875,0.40625,5.0,6.25,0.9825,0.875,4.25,5.125,9.125,2.125,0.0,4.0,2.75,Lithuanian LKL,2019,G,6-3,163,Lietkabelis,Kaunas,"2021 NBA Draft, Undrafted",Lithuania
2024,G,9,Marius Valinskas,JUV,23,21.5,28.0,9.5,21.125,0.56625,4.25,9.5,0.555,4.75,5.625,1.0475,1.0,4.25,5.25,8.75,2.125,0.0,4.75,3.5,Lithuanian LKL,2019,G,6-3,163,Lietkabelis,Kaunas,"2021 NBA Draft, Undrafted",Lithuania
2020,G,16,Malcolm Grant,PZV,10,25.25,18.375,6.875,16.625,0.5137499999999999,3.25,9.125,0.44375,1.5,1.5,1.25,0.625,3.0,3.5,4.125,0.875,0.0,3.875,4.125,Lithuanian LKL,2019,G,6-1,188,Pieno Zvaigzdes,Brooklyn (NY),"2012 NBA Draft, Undrafted",United States
2020,G,18,Edgars Lasenbergs,PZV,20,17.75,18.0,5.125,15.25,0.41625,3.125,9.125,0.4362499999999999,4.625,6.5,0.8875,0.375,3.625,4.0,4.25,1.75,0.0,2.75,11.0,Lithuanian LKL,2019,G,6-3,176,Pieno Zvaigzdes,Riga,"2017 NBA Draft, Undrafted",Latvia
2020,G,19,Kerr Kriisa,PRI,10,17.25,17.875,4.75,14.375,0.41625,3.5,10.0,0.4349999999999999,4.75,6.125,0.9825,0.375,2.625,3.0,9.625,2.125,0.0,8.25,3.875,Lithuanian LKL,2019,G,6-3,190,Vytautas Prienu,Tartu,2025 NBA Draft Eligible,Estonia
2020,G,21,Kevin Hardy,SIA,24,34.25,16.375,7.0,15.125,0.58375,0.875,3.125,0.3675,1.375,2.625,0.64625,3.0,7.25,10.25,10.0,6.5,0.5,3.625,5.625,Lithuanian LKL,2019,G,6-2,180,Siauliai,Lake Charles (LA),"2015 NBA Draft, Undrafted",United States
2020,G,22,Shannon Scott,JUV,21,27.875,16.0,6.125,17.75,0.4349999999999999,1.75,7.25,0.3075,1.875,3.0,0.8150000000000001,2.0,6.25,8.375,8.0,4.625,0.625,4.625,6.25,Lithuanian LKL,2019,G,6-1,185,Juventus,Alpharetta (GA),"2015 NBA Draft, Undrafted",United States
2020,G,24,Kevin Cham,KED,24,15.0,13.125,4.75,18.0,0.33375,2.75,11.875,0.285,0.875,2.25,0.4549999999999999,2.875,5.25,8.125,5.25,5.625,0.25,6.875,8.5,Lithuanian LKL,2019,G,6-2,161,Kedainiai Nevezis,Le Chesnay,"2020 NBA Draft, Undrafted",France
2020,G,1,Deividad Gailius,NEP,21,27.5,33.625,10.75,23.25,0.5800000000000001,5.75,13.25,0.53875,6.375,7.875,1.00375,1.375,4.0,5.5,5.375,1.5,0.25,5.625,7.5,Lithuanian LKL,2019,F,6-6,207,Neptunas,Klaipeda,"2010 NBA Draft, Undrafted",Lithuania
2021,F,2,Deividad Gailius,NEP,13,34.375,36.75,11.375,26.625,0.535,5.5,15.375,0.44875,8.375,11.625,0.90625,1.5,8.25,9.75,6.0,1.625,0.625,4.5,6.375,Lithuanian LKL,2019,F,6-6,207,Neptunas,Klaipeda,"2010 NBA Draft, Undrafted",Lithuania
2022,F,1,Deividad Gailius,NEP,31,32.0,37.75,11.625,26.125,0.5575,5.5,14.25,0.47625,9.125,11.875,0.955,1.625,9.375,11.0,6.0,1.375,0.125,5.125,4.625,Lithuanian LKL,2019,F,6-6,207,Neptunas,Klaipeda,"2010 NBA Draft, Undrafted",Lithuania
2023,F,2,Deividad Gailius,NEP,33,34.25,29.625,9.0,22.25,0.5075000000000001,4.875,14.0,0.4325,6.75,8.75,0.95625,0.75,7.25,8.125,5.25,1.375,0.0,3.375,5.5,Lithuanian LKL,2019,F,6-6,207,Neptunas,Klaipeda,"2010 NBA Draft, Undrafted",Lithuania
2024,F,13,Deividad Gailius,NEP,21,28.75,23.875,7.875,21.625,0.4525,4.125,13.875,0.3687499999999999,4.25,5.75,0.92375,1.375,8.125,9.5,5.375,2.0,0.25,2.625,6.25,Lithuanian LKL,2019,F,6-6,207,Neptunas,Klaipeda,"2010 NBA Draft, Undrafted",Lithuania
2020,G,2,Laurynas Beliauskas,KED,15,35.125,32.75,11.375,23.625,0.6025,5.5,13.125,0.53,4.375,4.875,1.14,0.625,4.0,4.5,8.375,2.75,0.0,3.375,4.0,Lithuanian LKL,2019,G,6-4,175,Kedainiai Nevezis,Klaipeda,"2019 NBA Draft, Undrafted",Lithuania
2020,G,3,Pako Cruz,LIE,20,26.5,32.625,12.625,25.25,0.62125,5.125,11.125,0.5700000000000001,2.375,3.125,0.96625,1.375,4.625,6.125,7.375,2.375,0.0,6.0,7.375,Lithuanian LKL,2019,G,6-2,210,Lietuvos Rytas,Nogales,"2012 NBA Draft, Undrafted",Mexico
2020,G,4,K.C. Rivers,ZAL,13,21.25,32.0,11.375,23.0,0.6174999999999999,6.75,15.125,0.5575,2.5,2.5,1.25,3.0,5.75,8.625,5.75,3.0,0.25,2.5,6.75,Lithuanian LKL,2019,F,6-5,198,Zalgiris,Charlotte (NC),"2009 NBA Draft, Undrafted",United States
2020,G,9,Zygimantas Skucas,JUV,23,25.5,26.75,8.75,16.25,0.6687500000000001,2.125,4.875,0.55875,7.125,8.875,1.015,3.5,7.625,11.125,4.25,2.0,2.25,6.0,8.75,Lithuanian LKL,2019,G,6-7,216,Juventus,Kaunas,"2014 NBA Draft, Undrafted",Lithuania
2021,F,5,Zygimantas Skucas,JUV,45,30.75,29.75,10.5,19.875,0.66125,2.875,6.875,0.53625,5.75,8.125,0.8975,2.75,6.875,9.625,3.375,1.375,2.0,4.875,7.5,Lithuanian LKL,2019,G,6-7,216,Juventus,Kaunas,"2014 NBA Draft, Undrafted",Lithuania
2022,C,13,Zygimantas Skucas,PZV,30,37.0,24.625,8.5,20.25,0.52625,2.75,8.125,0.41375,4.875,6.125,1.0,2.0,7.0,8.875,3.5,1.25,0.625,5.25,6.0,Lithuanian LKL,2019,G,6-7,216,Juventus,Kaunas,"2014 NBA Draft, Undrafted",Lithuania
2023,F,13,Zygimantas Skucas,JUV,34,28.0,24.0,9.0,19.375,0.58125,1.375,6.5,0.27125,4.625,7.125,0.79625,3.25,9.125,12.375,3.875,1.0,0.625,4.625,9.0,Lithuanian LKL,2019,G,6-7,216,Juventus,Kaunas,"2014 NBA Draft, Undrafted",Lithuania
2024,F,17,Zygimantas Skucas,JUV,25,22.75,22.375,8.875,17.625,0.63,2.0,5.5,0.44625,2.625,4.625,0.7137499999999999,3.25,5.5,8.875,3.0,1.375,1.875,4.5,8.875,Lithuanian LKL,2019,G,6-7,216,Juventus,Kaunas,"2014 NBA Draft, Undrafted",Lithuania
2020,G,11,Adrian Bowie,DZU,15,32.25,25.25,9.875,22.125,0.56,1.75,6.375,0.335,3.75,5.375,0.8575,1.125,7.5,8.5,8.0,3.625,0.5,5.0,5.875,Lithuanian LKL,2019,G,6-2,190,Dzukija,Greenbelt (MD),"2011 NBA Draft, Undrafted",United States
2020,G,16,Margiris Normantas,TEC,24,24.25,20.0,7.25,19.125,0.4725,3.25,10.5,0.38625,2.375,2.875,1.0225,2.375,6.125,8.375,8.125,2.375,0.125,4.5,6.375,Lithuanian LKL,2019,G,6-4,201,Lietkabelis,Vilnius,"2018 NBA Draft, Undrafted",Lithuania
2021,G,3,Margiris Normantas,TEC,37,30.75,29.875,10.5,21.75,0.60375,4.75,11.875,0.4975,4.125,5.125,1.00625,1.875,4.25,6.125,8.5,4.5,0.375,4.875,6.625,Lithuanian LKL,2019,G,6-4,201,Lietkabelis,Vilnius,"2018 NBA Draft, Undrafted",Lithuania
2022,G,12,Margiris Normantas,LIE,40,27.375,26.0,9.375,22.125,0.5287499999999999,4.125,12.125,0.42875,3.125,4.0,0.99125,1.25,5.625,6.875,6.875,3.375,0.875,3.75,6.25,Lithuanian LKL,2019,G,6-4,201,Lietkabelis,Vilnius,"2018 NBA Draft, Undrafted",Lithuania
2023,F,7,Margiris Normantas,LIE,39,28.875,27.875,9.25,19.75,0.5850000000000001,3.75,10.5,0.45125,5.5,6.5,1.05875,1.375,5.625,6.875,7.875,2.5,0.25,3.875,6.875,Lithuanian LKL,2019,G,6-4,201,Lietkabelis,Vilnius,"2018 NBA Draft, Undrafted",Lithuania
2024,G,4,Margiris Normantas,LIE,19,28.375,33.75,11.375,24.5,0.5825,5.0,12.5,0.5,6.0,7.875,0.9425,3.25,5.375,8.625,8.625,3.5,0.0,4.0,6.625,Lithuanian LKL,2019,G,6-4,201,Lietkabelis,Vilnius,"2018 NBA Draft, Undrafted",Lithuania
2020,G,18,Davis Geks,SIA,10,16.0,16.875,5.625,12.625,0.555,3.75,9.875,0.47625,1.875,1.875,1.25,0.0,4.25,4.25,4.75,2.375,0.0,2.375,5.125,Lithuanian LKL,2019,G,6-4,178,Siauliai,Bauska,"2017 NBA Draft, Undrafted",Latvia
2020,F,2,Gabe DeVoe,DZU,14,33.625,29.0,10.625,23.875,0.55875,5.0,13.25,0.46625,2.75,4.0,0.8500000000000001,1.75,7.375,9.125,4.125,2.375,0.5,5.0,6.5,Lithuanian LKL,2019,G,6-3,207,Dzukija,Shelby (NC),"2018 NBA Draft, Undrafted",United States
2020,F,3,Justas Furmanavicius,SIA,22,18.625,27.125,9.875,20.125,0.61375,1.875,6.25,0.3675,5.5,7.0,0.98625,1.625,4.75,6.375,3.125,2.0,0.5,2.875,6.75,Lithuanian LKL,2019,F,6-7,210,Siauliai,Kaunas,"2018 NBA Draft, Undrafted",Lithuania
2021,F,18,Justas Furmanavicius,SIA,35,24.375,20.875,7.5,16.375,0.56875,1.5,6.0,0.3125,4.375,5.625,0.97625,2.0,4.25,6.375,3.5,3.125,0.375,3.125,5.875,Lithuanian LKL,2019,F,6-7,210,Siauliai,Kaunas,"2018 NBA Draft, Undrafted",Lithuania
2022,F,19,Justas Furmanavicius,DZU,34,38.125,19.625,7.125,15.625,0.57625,1.5,4.875,0.3675,3.875,5.375,0.8875,2.75,6.5,9.25,3.75,1.875,0.125,2.375,4.0,Lithuanian LKL,2019,F,6-7,210,Siauliai,Kaunas,"2018 NBA Draft, Undrafted",Lithuania
2023,F,22,Justas Furmanavicius,PZV,29,30.875,18.375,6.25,15.25,0.515,1.75,5.875,0.375,4.0,5.375,0.9375,2.375,6.75,9.0,3.875,2.125,0.875,2.5,5.375,Lithuanian LKL,2019,F,6-7,210,Siauliai,Kaunas,"2018 NBA Draft, Undrafted",Lithuania
