"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2021,C,32,Lazar Joksimovic,ZLAT,23.0,15.125,5.25,2.125,3.875,0.66,0.0,0.25,0.3125,1.125,1.75,0.78125,1.75,1.875,3.75,0.375,0.875,0.125,0.875,2.375,2011,C,"6-8","220",KK Dynamic,Cajetina,"2024 NBA Draft Eligible",Serbia,Serbian KLS
2022,C,27,Lazar Joksimovic,ZLAT,19.0,22.125,8.5,3.125,5.875,0.66625,0.0,0.5,0.0,2.25,3.375,0.83375,2.875,2.5,5.375,1.0,0.875,0.125,1.625,3.25,2011,C,"6-8","220",KK Dynamic,Cajetina,"2024 NBA Draft Eligible",Serbia,Serbian KLS
2023,C,25,Lazar Joksimovic,ZLAT,32.0,20.375,7.875,2.75,5.625,0.62125,0.125,0.375,0.41625,2.25,3.5,0.79625,2.75,4.125,6.875,1.0,0.875,0.125,1.5,2.625,2011,C,"6-8","220",KK Dynamic,Cajetina,"2024 NBA Draft Eligible",Serbia,Serbian KLS
2022,G,2,Stefan Miljenovic,SLOD,13.0,38.875,22.375,6.5,13.5,0.59375,1.875,5.125,0.47125,7.625,9.625,0.9875,1.75,4.75,6.5,5.5,2.625,0.0,3.125,3.5,2011,G,"6-3","190",KK Mega Bemax,Niagara Falls,"2022 NBA Draft, Undrafted",Canada,Serbian KLS
2023,G,4,Stefan Miljenovic,BEO,36.0,38.0,22.5,6.5,14.75,0.54875,2.875,7.375,0.47875,6.75,8.625,0.97625,1.0,4.625,5.625,5.0,2.125,0.125,2.625,3.5,2011,G,"6-3","190",KK Mega Bemax,Niagara Falls,"2022 NBA Draft, Undrafted",Canada,Serbian KLS
2022,G,18,Stevan Karapandzic,SLO,32.0,27.125,11.875,3.75,7.625,0.625,1.0,3.125,0.41625,3.25,4.125,0.98125,0.5,2.625,3.125,4.0,0.625,0.0,2.5,2.125,2011,G,"6-3","180",OKK Novi Pazar,Kraljevo,"2023 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,G,19,Mihailo Petrovic,DUN,18.0,24.5,11.625,4.5,10.5,0.5375,1.0,3.5,0.35,1.625,3.125,0.66625,0.875,2.125,2.875,3.875,0.75,0.125,2.125,1.0,2011,G,"6-3",-,OKK Beograd,"","2025 NBA Draft Eligible",Serbia,Serbian KLS
2022,G,38,Stefan Stefanovic,DYNA,20.0,9.875,2.25,0.75,1.75,0.50875,0.25,0.625,0.555,0.625,0.875,0.865,0.125,1.0,1.125,2.125,0.875,0.0,0.875,2.0,2011,G,"6-4",-,KK Vrsac Swisslion,"","2012 NBA Draft, Undrafted",Serbia,Serbian KLS
2023,G,34,Stefan Stefanovic,DYNA,29.0,20.0,4.5,1.625,4.25,0.4625,0.625,2.25,0.34375,0.75,1.0,0.90875,0.75,1.375,2.25,3.25,1.125,0.0,1.625,2.875,2011,G,"6-4",-,KK Vrsac Swisslion,"","2012 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,G,39,Nemanja Jankovic,MET,14.0,7.625,2.0,0.75,2.375,0.385,0.5,1.5,0.3675,0.125,0.125,0.625,0.125,0.75,0.75,0.5,0.125,0.0,0.5,0.875,2011,G,"5-10","161",KK Metalac Valjevo,"","2024 NBA Draft Eligible",Serbia,Serbian KLS
2023,G,40,Nemanja Jankovic,MET,30.0,10.0,1.25,0.375,2.625,0.19875,0.25,1.625,0.165,0.125,0.375,0.625,0.375,0.625,1.0,0.5,0.25,0.0,0.75,1.875,2011,G,"5-10","161",KK Metalac Valjevo,"","2024 NBA Draft Eligible",Serbia,Serbian KLS
2022,G,40,Mihailo Milutinovic,BEO,14.0,7.0,1.5,0.5,1.625,0.3475,0.25,1.125,0.3125,0.375,0.5,1.0,0.25,0.5,0.75,0.25,0.5,0.125,0.375,1.75,2011,G,"6-2",-,KK Mega Bemax,"","2025 NBA Draft Eligible",Serbia,Serbian KLS
2023,G,41,Mihailo Milutinovic,BEO,17.0,3.5,1.0,0.5,1.125,0.46875,0.125,0.5,0.17875,0.0,0.0,0.0,0.125,0.25,0.25,0.25,0.125,0.0,0.25,0.5,2011,G,"6-2",-,KK Mega Bemax,"","2025 NBA Draft Eligible",Serbia,Serbian KLS
2022,G,42,Aleksandar Teofilovic,MET,15.0,7.375,1.375,0.5,2.125,0.3,0.25,1.625,0.1975,0.125,0.125,1.25,0.25,0.375,0.625,0.25,0.375,0.0,0.375,1.0,2011,G,"5-11","174",KK Metalac Valjevo,"","2022 NBA Draft, Undrafted",Serbia,Serbian KLS
2023,G,38,Aleksandar Teofilovic,MET,16.0,4.125,1.375,0.5,1.875,0.365,0.25,1.5,0.1975,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.125,0.0,0.125,0.25,2011,G,"5-11","174",KK Metalac Valjevo,"","2022 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,G,3,Nemanja Nikolic,PAZ,20.0,41.25,22.25,7.25,14.5,0.6225,2.125,6.375,0.40875,5.75,7.375,0.9825,0.125,5.25,5.375,8.5,1.625,0.5,4.125,3.75,2011,F,"6-5","198",OKK Novi Pazar,Banja Luka,"2020 NBA Draft, Undrafted",Bosnia and HerzegovinaSerbia,Serbian KLS
2023,C,18,Nemanja Nikolic,SLOB,11.0,28.5,11.5,3.625,8.0,0.57125,0.625,2.375,0.3575,3.5,4.125,1.07625,0.625,4.0,4.5,4.5,1.5,0.0,3.5,2.625,2011,F,"6-5","198",OKK Novi Pazar,Banja Luka,"2020 NBA Draft, Undrafted",Bosnia and HerzegovinaSerbia,Serbian KLS
2022,G,14,Marko Derasimovic,RADN,27.0,32.25,13.625,4.25,9.0,0.59625,1.375,3.75,0.47875,3.5,4.0,1.105,0.75,3.75,4.375,1.875,1.25,0.125,2.0,2.375,2011,G,"6-4","205",Radnicki 1950 Kragujevac,Kragujevac,"2006 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,G,20,Uros Paunovic,DYNA,28.0,24.0,11.0,4.125,8.625,0.58625,1.125,3.125,0.42875,1.75,2.625,0.8475,0.75,1.625,2.5,3.5,1.25,0.125,1.625,2.875,2011,G,"6-3",-,KK Dynamic,"","2025 NBA Draft Eligible",Serbia,Serbian KLS
2022,G,22,Matija Novkovic,PAZ,20.0,28.625,10.875,3.625,7.875,0.575,1.0,2.375,0.49375,2.625,3.75,0.89,0.25,2.875,3.0,2.75,0.625,0.125,2.5,3.625,2011,G,"6-4",-,KK Metalac Valjevo,Belgrade,"2022 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,G,34,Branislav Terzic,TAM,26.0,25.0,8.125,2.875,5.125,0.68875,0.5,1.125,0.54375,1.875,2.125,1.13625,2.0,3.25,5.25,1.125,1.5,0.375,1.375,4.0,2011,F,"6-5","185",KK Tamis,Belgrade,"2021 NBA Draft, Undrafted",Serbia,Serbian KLS
2023,F,12,Branislav Terzic,TAM,22.0,32.625,13.375,4.5,7.875,0.71,0.75,1.875,0.4775,3.75,4.125,1.1125,1.875,6.875,8.75,1.5,0.875,0.375,1.75,4.0,2011,F,"6-5","185",KK Tamis,Belgrade,"2021 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,G,48,Danilo Labovic,BEO,28.0,13.75,3.125,1.125,2.625,0.54125,0.25,1.0,0.3575,0.5,0.875,0.79,0.375,1.0,1.25,1.875,0.5,0.0,1.0,2.25,2011,G,"6-3",-,Radnicki 1950 Kragujevac,"","2025 NBA Draft Eligible",Serbia,Serbian KLS
2023,G,36,Danilo Labovic,BEO,26.0,11.5,3.25,1.25,3.125,0.47375,0.5,1.875,0.32875,0.375,0.375,1.09375,0.375,1.0,1.25,0.75,0.25,0.0,0.75,2.625,2011,G,"6-3",-,Radnicki 1950 Kragujevac,"","2025 NBA Draft Eligible",Serbia,Serbian KLS
2022,F,8,Stefan Matovic,SLO,31.0,33.0,16.0,5.75,12.5,0.57875,0.625,3.375,0.25,3.875,5.625,0.8425,2.0,7.5,9.5,4.25,1.0,1.0,3.0,4.125,2011,F,"6-7","187",KK Sloga,Kraljevo,"2013 NBA Draft, Undrafted",Serbia,Serbian KLS
2023,F,7,Stefan Matovic,SLO,16.0,29.25,15.625,4.875,10.25,0.60125,1.0,3.5,0.34125,4.875,7.125,0.85125,1.625,6.0,7.625,2.75,0.75,0.375,2.875,3.125,2011,F,"6-7","187",KK Sloga,Kraljevo,"2013 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,F,11,Milic Blagojevic,KKKO,18.0,31.5,14.625,5.125,10.5,0.60875,0.5,2.875,0.21375,3.875,6.125,0.795,1.125,5.125,6.125,2.875,1.125,0.625,2.125,4.0,2011,F,"6-5","194",Radnicki 1950 Kragujevac,Kragujevac,"2013 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,F,17,Djorde Bozic,SLOB,32.0,34.375,13.125,4.0,9.375,0.52875,2.0,5.5,0.4575,3.125,4.375,0.9125,1.0,3.625,4.75,2.25,1.0,0.5,1.75,3.875,2011,F,"6-5",-,KK Sloboda Uzice,Uzice,"2023 NBA Draft, Undrafted",Serbia,Serbian KLS
2023,F,18,Djorde Bozic,SLOB,30.0,28.625,10.125,2.875,7.125,0.51125,1.25,4.0,0.3775,3.0,3.75,1.025,1.125,2.625,3.75,0.875,1.0,0.125,1.25,3.75,2011,F,"6-5",-,KK Sloboda Uzice,Uzice,"2023 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,F,18,Ziga Jurcek,SWIS,29.0,30.5,13.0,4.5,10.875,0.50875,1.875,6.0,0.39625,2.25,3.0,0.92875,0.875,3.125,4.0,3.0,1.75,0.125,2.75,3.25,2011,F,"6-4","192",KK Vrsac Swisslion,Ljubljana,"2020 NBA Draft, Undrafted",Slovenia,Serbian KLS
2023,F,9,Ziga Jurcek,SWIS,28.0,28.875,14.25,4.875,11.625,0.5225,2.875,7.75,0.47,1.625,2.625,0.7975,1.0,2.625,3.625,3.0,1.125,0.0,1.625,2.75,2011,F,"6-4","192",KK Vrsac Swisslion,Ljubljana,"2020 NBA Draft, Undrafted",Slovenia,Serbian KLS
2022,F,29,Nikola Pavic,MET,22.0,21.5,8.125,2.625,6.0,0.56,0.625,2.5,0.34875,2.0,3.75,0.68125,1.875,2.625,4.5,0.875,0.625,0.375,1.25,3.25,2011,F,"6-6","176",KK Sloga,Belgrade,"2021 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,F,38,Uros Banjac,NOV,29.0,14.125,5.125,2.0,4.25,0.58125,0.75,2.5,0.35125,0.5,0.875,0.79,0.75,1.5,2.25,0.5,0.75,0.125,0.375,2.25,2011,GF,"6-5",-,KK Vojvodina Novi Sad,"","2023 NBA Draft, Undrafted",Serbia,Serbian KLS
2023,F,17,Uros Banjac,NOV,31.0,34.0,11.125,4.0,8.0,0.62125,1.125,3.125,0.4275,2.125,3.0,0.895,1.5,3.5,5.0,1.625,1.375,0.0,1.375,2.75,2011,GF,"6-5",-,KK Vojvodina Novi Sad,"","2023 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,F,39,Duro Dautovic,RADN,20.0,12.875,3.875,1.625,3.375,0.57875,0.375,1.5,0.32625,0.375,0.5,0.9375,0.875,1.0,1.875,1.25,0.5,0.25,0.625,2.125,2011,F,"6-5",-,Radnicki 1950 Kragujevac,"","2023 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,F,40,Petar Bogicevic,SLOB,11.0,14.0,3.875,1.25,3.0,0.52875,0.375,1.0,0.41625,1.0,1.625,0.80375,0.5,0.75,1.25,3.125,0.375,0.0,1.75,2.125,2011,F,"6-4",-,KK Sloboda Uzice,"","2024 NBA Draft Eligible",Serbia,Serbian KLS
2023,G,24,Petar Bogicevic,SLOB,30.0,24.0,8.625,3.375,6.5,0.645,0.75,2.125,0.475,1.125,1.75,0.81375,0.5,1.5,2.0,3.875,1.125,0.0,2.875,2.75,2011,F,"6-4",-,KK Sloboda Uzice,"","2024 NBA Draft Eligible",Serbia,Serbian KLS
2022,F,41,Nikola Saranovic,FMP,2.0,27.75,3.75,1.25,3.75,0.41625,0.0,1.25,0.0,1.25,1.25,1.25,1.25,1.875,3.125,3.75,0.0,0.0,3.75,3.75,2011,F,"6-7","190",FMP Beograd,Belgrade,"2025 NBA Draft Eligible",Serbia,Serbian KLS
2023,G,40,Nikola Saranovic,FMP,10.0,31.125,6.5,2.25,5.625,0.5,0.625,2.875,0.27125,1.375,2.0,0.86,0.375,3.375,3.75,3.5,1.5,0.125,2.25,3.125,2011,F,"6-7","190",FMP Beograd,Belgrade,"2025 NBA Draft Eligible",Serbia,Serbian KLS
2022,F,44,Luka Aksentijevic,SLOB,26.0,12.75,1.875,0.75,2.125,0.42625,0.125,0.875,0.20875,0.375,0.375,1.09375,0.625,1.625,2.25,1.375,0.875,0.0,0.75,1.875,2011,GF,"6-5",-,KK Sloboda Uzice,"","2024 NBA Draft Eligible",Serbia,Serbian KLS
2023,G,45,Luka Aksentijevic,SLOB,30.0,22.0,4.0,1.5,3.75,0.505,0.375,1.75,0.29125,0.625,0.75,0.92125,0.75,2.875,3.625,2.25,1.75,0.375,1.25,3.0,2011,GF,"6-5",-,KK Sloboda Uzice,"","2024 NBA Draft Eligible",Serbia,Serbian KLS
2022,F,1,Andrija Bojic,ZEM,32.0,34.625,25.5,9.75,17.5,0.69875,0.625,2.25,0.335,5.375,7.75,0.8825,3.25,4.75,8.0,1.0,0.5,1.625,1.75,2.875,2011,F,"6-8","194",KK Spartak Subotica,Belgrade,"2015 NBA Draft, Undrafted",Serbia,Serbian KLS
2023,F,5,Andrija Bojic,SPAR,25.0,26.625,18.25,7.0,11.375,0.77125,0.125,0.625,0.3125,4.125,5.625,0.9075,2.375,3.375,5.75,1.25,0.125,1.25,1.125,2.5,2011,F,"6-8","194",KK Spartak Subotica,Belgrade,"2015 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,F,12,Danilo Tasic,FMP,2.0,32.0,15.625,4.375,11.25,0.48625,0.625,3.125,0.25,6.25,8.125,0.96125,1.875,6.25,8.125,3.75,1.25,0.0,3.125,2.5,2011,F,"6-10","231",KK Borac Cacak,Nis,"2015 NBA Draft, Undrafted",Serbia,Serbian KLS
