"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2020,F,13,Ziga Jurcek,SGG,17.0,25.0,19.25,6.875,15.0,0.57375,3.0,7.25,0.51875,2.5,3.375,0.92125,2.125,5.25,7.375,3.75,3.0,0.125,2.875,7.625,2019,F,"6-4","192",Sencur Gorenjska Gradbena Druzba Kranj,Ljubljana,"2020 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2021,G,14,Ziga Jurcek,POL,27.0,40.5,22.375,7.125,18.5,0.48375,3.0,8.75,0.4325,5.125,6.375,0.995,1.875,5.25,7.125,4.5,2.375,0.125,3.875,5.0,2019,F,"6-4","192",Sencur Gorenjska Gradbena Druzba Kranj,Ljubljana,"2020 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,14,Nejc Martincic,SGG,15.0,26.125,15.5,6.125,16.5,0.465,2.625,8.625,0.38875,0.625,0.75,0.9375,1.0,2.875,3.875,4.0,1.75,0.0,2.625,5.5,2019,G,"6-0","168",Sencur Gorenjska Gradbena Druzba Kranj,Kranj,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2020,G,8,Nejc Martincic,SGG,15.0,24.375,22.375,7.75,18.625,0.5225,4.25,10.875,0.495,2.5,2.875,1.07125,0.625,3.75,4.25,4.25,2.0,0.0,3.125,6.125,2019,G,"6-0","168",Sencur Gorenjska Gradbena Druzba Kranj,Kranj,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2021,G,8,Nejc Martincic,SGG,28.0,33.0,24.0,8.0,19.625,0.51375,4.75,12.375,0.485,3.125,3.875,1.01625,1.0,5.5,6.5,4.25,1.875,0.0,1.875,4.0,2019,G,"6-0","168",Sencur Gorenjska Gradbena Druzba Kranj,Kranj,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2022,G,12,Nejc Martincic,SGG,28.0,30.875,27.625,9.5,19.75,0.6025,6.0,13.5,0.55625,2.5,3.25,0.95375,1.5,3.875,5.25,4.5,1.375,0.0,2.75,4.25,2019,G,"6-0","168",Sencur Gorenjska Gradbena Druzba Kranj,Kranj,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2023,G,22,Nejc Martincic,SGG,27.0,24.25,17.5,5.875,19.5,0.375,4.25,14.875,0.35625,1.625,1.875,1.09375,1.125,3.375,4.5,5.75,2.0,0.125,2.875,4.5,2019,G,"6-0","168",Sencur Gorenjska Gradbena Druzba Kranj,Kranj,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2024,G,12,Nejc Martincic,SGG,19.0,16.75,22.375,8.25,21.375,0.48125,4.75,15.75,0.37375,1.125,1.625,0.8925,0.25,1.625,1.875,4.5,1.875,0.0,2.625,5.125,2019,G,"6-0","168",Sencur Gorenjska Gradbena Druzba Kranj,Kranj,"2019 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,15,Aljaz Bratec,DOM,26.0,27.125,15.5,5.75,13.875,0.51875,2.75,8.25,0.4225,1.125,1.375,1.0575,0.5,3.25,3.75,4.375,1.25,0.0,2.0,5.75,2019,G,"6-4","190",Helios Domzale,Ljubljana,"2020 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2020,G,16,Aljaz Bratec,DOM,14.0,22.25,14.25,4.375,10.125,0.53625,3.125,6.75,0.58,2.375,2.625,1.13625,0.25,4.125,4.375,3.875,1.25,0.5,2.125,5.0,2019,G,"6-4","190",Helios Domzale,Ljubljana,"2020 NBA Draft, Undrafted",Slovenia,Slovenian SKL
