"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2023,F,5,Isiah Osborne,GG,21,45.3125,35.9375,12.96875,28.90625,0.6984375,5.15625,12.8125,0.63125,5.0,7.96875,0.9609375,1.71875,8.4375,10.15625,4.84375,1.40625,1.5625,3.4375,4.375,2022,G,"6-5",180,Vytautas Prienu,Windsor,"2020 NBA Draft, Undrafted",Canada,Lithuanian LKL
2023,F,6,Eigirdas Zukauskas,WOLV,34,37.8125,35.15625,11.71875,24.21875,0.7578125,5.3125,13.4375,0.6265625,6.25,7.03125,1.3625,4.0625,8.4375,12.5,4.6875,2.5,0.78125,3.125,9.6875,2022,GF,"6-6",190,BC Wolves,Radviliskis,"2014 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2024,F,17,Eigirdas Zukauskas,WOLV,23,33.125,26.09375,9.375,20.46875,0.7171875,4.6875,12.5,0.578125,2.65625,3.4375,1.2078125,2.96875,9.0625,12.03125,5.625,2.65625,0.3125,2.8125,5.625,2022,GF,"6-6",190,BC Wolves,Radviliskis,"2014 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,F,10,Tauras Jogela,PRI,18,35.3125,33.59375,13.28125,24.84375,0.8328125,1.875,6.875,0.421875,5.15625,6.875,1.1828125,5.15625,10.15625,15.3125,4.84375,3.4375,0.3125,2.1875,11.40625,2022,GF,"6-7",198,Vytautas Prienu,Taurage,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2024,F,4,Tauras Jogela,JJ,25,39.53125,33.75,11.71875,23.28125,0.7890625,2.96875,7.96875,0.5828125,7.34375,10.15625,1.1390625,4.6875,9.0625,13.75,5.9375,2.65625,1.09375,4.6875,9.53125,2022,GF,"6-7",198,Vytautas Prienu,Taurage,"2015 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,F,16,Benedek Varadi,LIE,28,29.0625,30.0,11.5625,26.875,0.66875,4.375,12.8125,0.5265625,2.65625,3.59375,1.125,2.03125,8.125,10.0,11.5625,4.0625,0.15625,4.21875,9.84375,2022,F,"6-5",202,Lietuvos Rytas,Szombathely,"2017 NBA Draft, Undrafted",Hungary,Lithuanian LKL
2023,F,17,Martins Laksa,JJ,40,42.8125,29.375,8.90625,20.3125,0.684375,4.84375,12.1875,0.63125,6.71875,7.65625,1.3546875,1.71875,5.625,7.34375,2.1875,2.34375,0.0,3.28125,7.03125,2022,F,"6-7",198,Jonava Jonavos,Riga,"2012 NBA Draft, Undrafted",Latvia,Lithuanian LKL
2023,F,18,Liutauras Lelevicius,ZAL,10,9.53125,28.4375,11.09375,20.9375,0.8265625,3.75,8.59375,0.6703125,2.5,2.5,1.5625,2.5,9.84375,12.34375,0.0,1.25,0.0,2.5,5.0,2022,F,"6-7",181,Zalgiris,Kaunas,"2025 NBA Draft Eligible",Lithuania,Lithuanian LKL
2024,F,29,Liutauras Lelevicius,TEC,21,22.5,19.53125,6.25,14.375,0.6734375,2.1875,7.5,0.46875,5.0,5.78125,1.359375,1.5625,5.46875,6.875,5.0,1.25,0.46875,3.90625,7.1875,2022,F,"6-7",181,Zalgiris,Kaunas,"2025 NBA Draft Eligible",Lithuania,Lithuanian LKL
2023,F,21,Bryce Douvier,SIA,10,22.03125,25.46875,9.0625,20.15625,0.6984375,2.1875,7.5,0.446875,5.3125,5.78125,1.4203125,4.21875,9.0625,13.28125,2.65625,0.46875,1.5625,2.1875,11.09375,2022,F,"6-7",230,Siauliai,Salzburg,"2016 NBA Draft, Undrafted",AustriaUnited States,Lithuanian LKL
2023,F,31,Hugo Invernizzi,WOLV,16,35.46875,20.15625,7.5,15.625,0.740625,3.90625,9.6875,0.63125,1.40625,2.5,0.9109375,2.03125,7.1875,9.21875,5.3125,1.25,0.46875,1.875,6.875,2022,GF,"6-6",210,BC Wolves,Mulhouse,"2015 NBA Draft, Undrafted",France,Lithuanian LKL
2023,F,36,Martynas Arlauskas,PZV,22,12.96875,13.90625,5.3125,13.90625,0.596875,0.0,2.8125,0.0,3.28125,6.09375,0.8328125,5.78125,5.3125,11.09375,0.78125,2.5,0.78125,3.75,7.03125,2022,GF,"6-7",205,Pieno Zvaigzdes,Siauliai,"2023 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
