"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2021,G,12,Devon Hall,BRO,33,34.0,31.0,10.375,21.75,0.59625,4.875,12.25,0.49875,5.5,6.625,1.035,1.625,6.875,8.5,8.625,1.875,0.75,5.625,3.25,2020,G,"6-5",215,Brose Baskets Bamberg,Virginia Beach (VA),"2018 Rnd 2 Pick 23",United States,German BBL
2021,G,13,Cameron Hunt,OLI,34,29.25,30.375,10.5,20.0,0.65375,3.0,7.875,0.48125,6.375,6.625,1.2075,2.0,4.5,6.5,8.625,2.375,0.75,5.375,5.75,2020,F,"6-3",175,s.Oliver Baskets,Duncanville (TX),"2019 NBA Draft, Undrafted",United States,German BBL
2022,G,20,Cameron Hunt,OLI,33,35.75,26.375,8.875,19.125,0.58375,3.0,7.375,0.52125,5.5,6.125,1.12125,1.25,3.875,5.125,7.25,1.875,0.5,3.5,5.5,2020,F,"6-3",175,s.Oliver Baskets,Duncanville (TX),"2019 NBA Draft, Undrafted",United States,German BBL
2023,F,5,Cameron Hunt,OLI,34,42.25,30.375,10.125,22.0,0.575,3.125,7.625,0.51375,7.0,8.0,1.09625,1.375,3.875,5.125,6.0,2.375,0.625,3.75,3.875,2020,F,"6-3",175,s.Oliver Baskets,Duncanville (TX),"2019 NBA Draft, Undrafted",United States,German BBL
2021,G,14,Troy Caupain,RUL,42,34.5,30.125,10.0,19.125,0.6525,3.625,8.75,0.51,6.625,8.125,1.0125,0.875,7.625,8.625,10.375,1.875,0.25,4.75,4.25,2020,G,"6-4",210,Ratiopharm Ulm,Midlothian (VA),"2017 NBA Draft, Undrafted",United States,German BBL
2021,G,16,Isaac Hamilton,GIE,28,21.75,28.5,11.375,24.5,0.5775,3.875,9.625,0.49625,2.0,2.25,1.11125,3.25,4.75,8.0,5.625,2.875,0.25,5.75,5.875,2020,G,"6-4",185,Giessen 46ers,Los Angeles (CA),"2017 NBA Draft, Undrafted",United States,German BBL
2021,G,17,Diante Garrett,GIE,19,40.25,28.125,10.625,21.5,0.61625,4.125,10.25,0.505,2.875,3.375,1.03625,0.75,3.5,4.375,9.125,2.875,0.5,4.5,3.5,2020,G,"6-4",190,Giessen 46ers,Milwaukee (WI),"2011 NBA Draft, Undrafted",United States,German BBL
2021,G,18,Jonas Weitzel,OLI,22,15.375,27.625,10.875,20.5,0.65875,0.5,2.375,0.2275,5.5,6.875,1.0075,3.5,5.5,9.0,2.375,1.375,0.625,2.875,6.125,2019,FC,"6-8",226,s.Oliver Baskets,Kassel,"2020 NBA Draft, Undrafted",Germany,German BBL
2021,G,19,Bruno Vrcic,FRA,17,17.625,26.125,9.75,19.625,0.625,3.75,10.25,0.4575,2.75,3.75,0.91625,2.25,3.75,6.0,2.5,1.75,0.25,2.25,8.0,2019,G,"6-5",207,Fraport Skyliners,Munich,"2022 NBA Draft, Undrafted",Germany,German BBL
2023,G,34,Bruno Vrcic,CRA,18,21.5,21.125,7.5,19.375,0.4875,3.25,10.5,0.39375,2.75,4.25,0.795,2.5,6.375,8.875,3.125,1.375,0.25,2.5,6.625,2019,G,"6-5",207,Fraport Skyliners,Munich,"2022 NBA Draft, Undrafted",Germany,German BBL
2021,G,22,Alex Hamilton,TBB,16,31.75,24.625,9.625,19.75,0.60625,1.75,5.5,0.405,3.75,5.625,0.8225,1.625,5.625,7.25,7.625,4.625,0.5,6.25,4.25,2020,G,"6-4",195,Telekom Baskets Bonn,Chipley (FL),"2016 NBA Draft, Undrafted",United States,German BBL
2021,G,23,Terrel Harris,BVC,30,34.75,24.625,8.875,16.875,0.6625,1.875,3.875,0.60125,4.875,6.5,0.93375,2.625,4.5,7.125,8.375,2.0,0.125,6.75,3.75,2020,F,"6-5",190,BV Chemnitz 99,Dallas (TX),"2009 NBA Draft, Undrafted",United States,German BBL
2021,G,25,Deishuan Booker,GOE,24,28.0,24.0,7.375,16.875,0.54625,3.875,9.5,0.515,5.375,6.5,1.035,0.625,5.625,6.25,12.875,2.5,0.5,6.5,5.125,2020,G,"6-3",170,BG Goettingen,Las Vegas (NV),"2019 NBA Draft, Undrafted",United States,German BBL
2021,G,26,Jonah Radebaugh,LUD,24,21.75,23.125,7.625,17.75,0.53875,3.75,8.75,0.5325,4.125,4.625,1.1325,3.5,6.875,10.375,3.5,2.25,0.875,2.25,3.875,2020,G,"6-3",185,MHP Riesen,Thornton (CO),"2020 NBA Draft, Undrafted",United StatesMontenegro,German BBL
2022,G,16,Jonah Radebaugh,LUD,40,39.75,27.875,9.625,21.875,0.55375,4.5,11.5,0.485,4.0,5.125,0.995,2.125,8.0,10.125,7.0,3.25,0.5,3.125,4.875,2020,G,"6-3",185,MHP Riesen,Thornton (CO),"2020 NBA Draft, Undrafted",United StatesMontenegro,German BBL
2021,G,27,Bryon Allen,BLB,11,39.625,23.0,8.125,21.125,0.4775,3.625,10.25,0.4375,3.25,5.125,0.79125,1.375,6.125,7.5,9.125,2.0,0.125,3.75,4.125,2020,G,"6-3",202,Basketball Lowen Braunschweig,Upper Marlboro (MD),"2014 NBA Draft, Undrafted",United States,German BBL
2021,G,28,Moritz Plescher,BRO,13,6.0,23.0,8.625,16.25,0.66125,5.75,13.375,0.53625,0.0,0.0,0.0,0.0,7.625,7.625,2.875,1.0,0.0,0.0,1.875,2019,G,"6-5",187,Brose Baskets Bamberg,"","2022 NBA Draft, Undrafted",Germany,German BBL
2021,G,30,Xavier Pollard,TBB,31,22.0,22.875,8.75,19.25,0.56375,1.75,5.125,0.435,3.75,4.375,1.0625,2.125,5.25,7.375,5.625,3.75,0.0,5.5,7.0,2020,G,"6-4",210,Telekom Baskets Bonn,Bronx (NY),"2016 NBA Draft, Undrafted",United States,German BBL
2021,G,34,Rich Igbineweka,HAM,25,7.25,20.375,7.125,12.875,0.685,1.625,4.625,0.455,4.625,6.625,0.86,2.5,2.875,5.375,1.25,4.125,0.375,2.125,8.375,2019,GF,"6-2",167,Hamburg Towers,Lagos,"2020 NBA Draft, Undrafted",NigeriaGermany,German BBL
2022,G,31,Rich Igbineweka,HAM,17,9.25,20.625,7.25,15.375,0.58625,1.875,6.25,0.385,4.375,7.25,0.75,3.375,1.5,4.75,1.0,2.375,0.0,1.875,8.625,2019,GF,"6-2",167,Hamburg Towers,Lagos,"2020 NBA Draft, Undrafted",NigeriaGermany,German BBL
2023,G,29,Rich Igbineweka,BAY,23,19.125,23.5,7.0,17.0,0.5125,2.375,7.125,0.41625,7.125,10.25,0.875,1.875,5.0,6.875,4.125,2.375,0.125,5.0,8.625,2019,GF,"6-2",167,Hamburg Towers,Lagos,"2020 NBA Draft, Undrafted",NigeriaGermany,German BBL
2024,G,25,Rich Igbineweka,GOE,25,17.875,26.875,9.625,17.75,0.6725,1.375,4.75,0.3575,6.375,9.0,0.88,1.625,6.25,7.875,4.375,3.5,0.0,4.375,8.875,2019,GF,"6-2",167,Hamburg Towers,Lagos,"2020 NBA Draft, Undrafted",NigeriaGermany,German BBL
