"Year","Position","#","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_x","Position_x","#_x","Team_x","GP_x","MPG_x","PPG_x","FGM_x","FGA_x","FG%_x","3PM_x","3PA_x","3P%_x","FTM_x","FTA_x","FT%_x","ORB_x","DRB_x","RPG_x","APG_x","SPG_x","BPG_x","TOV_x","PF_x","Year_y","Position_y","#_y","Team_y","GP_y","MPG_y","PPG_y","FGM_y","FGA_y","FG%_y","3PM_y","3PA_y","3P%_y","FTM_y","FTA_y","FT%_y","ORB_y","DRB_y","RPG_y","APG_y","SPG_y","BPG_y","TOV_y","PF_y","League"
2012,G,7,Petar Babic,ZAG,10,16.2,18.7,5.9,12.5,0.476,2.4,6.8,0.348,4.5,5.6,0.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0,2012,G,7,ZAG,10,16.2,18.7,5.9,12.5,0.476,2.4,6.8,0.348,4.5,5.6,0.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0,2012,PG,7,ZAG,10,16.2,18.7,5.9,12.5,0.476,2.4,6.8,0.348,4.5,5.6,0.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0,Greek Basketball League
2012,G,7,Petar Babic,ZAG,10,16.2,18.7,5.9,12.5,0.476,2.4,6.8,0.348,4.5,5.6,0.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0,2012,G,7,ZAG,10,16.2,18.7,5.9,12.5,0.476,2.4,6.8,0.348,4.5,5.6,0.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0,2020,PG,14,VEL,19,13.9,16.4,5.8,13.4,0.432,2.2,6.7,0.324,2.5,2.9,0.875,1.1,3.3,4.4,7.3,2.9,0.2,4.5,6.5,Greek Basketball League
2012,G,7,Petar Babic,ZAG,10,16.2,18.7,5.9,12.5,0.476,2.4,6.8,0.348,4.5,5.6,0.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0,2012,G,7,ZAG,10,16.2,18.7,5.9,12.5,0.476,2.4,6.8,0.348,4.5,5.6,0.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0,2022,PG,26,BOS,2,22.0,12.0,3.3,10.9,0.3,3.3,8.7,0.375,2.2,2.2,1.0,0.0,3.3,3.3,9.8,3.3,0.0,2.2,4.4,Greek Basketball League
2012,G,7,Petar Babic,ZAG,10,16.2,18.7,5.9,12.5,0.476,2.4,6.8,0.348,4.5,5.6,0.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0,2012,G,7,ZAG,10,16.2,18.7,5.9,12.5,0.476,2.4,6.8,0.348,4.5,5.6,0.789,0.3,3.9,4.2,6.2,4.2,0.0,2.1,5.0,2023,SG,15,BOS,31,20.6,17.5,5.8,13.3,0.435,3.1,8.5,0.363,2.9,3.8,0.745,0.5,4.6,5.1,6.3,3.3,0.1,3.2,7.2,Greek Basketball League
2012,G,8,Srdan Subotic,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,2012,G,8,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,2012,PG,8,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,Greek Basketball League
2012,G,8,Srdan Subotic,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,2012,G,8,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,2013,PG,4,SPL,7,24.9,19.8,6.6,12.9,0.511,2.8,6.9,0.4,3.9,5.2,0.737,0.8,3.9,4.7,9.6,1.7,0.0,3.3,3.9,Greek Basketball League
2012,G,8,Srdan Subotic,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,2012,G,8,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,2014,PG,3,SPL,21,30.4,23.1,7.2,14.6,0.495,2.3,5.5,0.425,6.3,6.8,0.923,0.5,4.4,4.9,9.5,1.8,0.1,3.8,3.9,Greek Basketball League
2012,G,8,Srdan Subotic,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,2012,G,8,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,2015,PG,13,JOL,26,27.0,14.1,4.0,12.9,0.307,1.2,5.3,0.234,4.9,5.5,0.889,0.8,4.6,5.5,7.0,1.4,0.0,2.6,4.3,Greek Basketball League
2012,G,8,Srdan Subotic,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,2012,G,8,SPL,33,31.7,18.3,5.6,13.5,0.414,1.5,6.2,0.243,5.7,6.9,0.828,0.6,4.1,4.6,6.3,1.7,0.0,3.3,4.5,2016,PG,10,SPL,33,24.6,17.6,5.7,13.5,0.421,1.9,6.2,0.305,4.3,4.9,0.88,1.0,3.5,4.5,5.8,1.4,0.1,2.1,3.8,Greek Basketball League
2012,G,9,Matteo Juricic,KVA,29,20.9,17.6,6.2,14.5,0.426,3.2,7.8,0.408,2.1,2.8,0.743,0.8,2.7,3.5,2.5,1.3,0.1,3.3,5.6,2012,G,9,KVA,29,20.9,17.6,6.2,14.5,0.426,3.2,7.8,0.408,2.1,2.8,0.743,0.8,2.7,3.5,2.5,1.3,0.1,3.3,5.6,2012,PG,9,KVA,29,20.9,17.6,6.2,14.5,0.426,3.2,7.8,0.408,2.1,2.8,0.743,0.8,2.7,3.5,2.5,1.3,0.1,3.3,5.6,Greek Basketball League
