Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Lucky Jones,GF,6-6,210,Aris BC,Newark (NJ),"2015 NBA Draft, Undrafted",United StatesUkraine
2019,Konstantinos Kadras,C,6-9,220,Peristeri BC,,"2023 NBA Draft, Undrafted",Greece
2019,Christos Kafezas,G,6-3,185,ASP Promitheas Patras,,2024 NBA Draft Eligible,Greece
2019,Dimitrios Kaklamanakis,C,6-9,210,GS Lavrio,Athens,"2016 NBA Draft, Undrafted",Greece
2019,Georgios Kalaitzakis,F,6-7,205,Panathinaikos,Heraklion,2021 Rnd 2 Pick 30,Greece
2019,Panagiotis Kalaitzakis,GF,6-6,194,Holargos,Heraklion,"2021 NBA Draft, Undrafted",Greece
2019,Phil Kalogiannidis,G,6-3,173,Rethymno,Thessaloniki,"2016 NBA Draft, Undrafted",Greece
2019,Nikolaos Kamarianos,G,6-8,205,Panionios BC,Athens,"2019 NBA Draft, Undrafted",Greece
2019,Georgios Kamperidis,G,6-8,210,Panionios BC,,"2021 NBA Draft, Undrafted",Greece
2019,Michalis Kamperidis,F,6-9,240,Holargos,Athens,"2014 NBA Draft, Undrafted",Greece
2019,Ioannis Karamalegkos,G,6-3,205,Panionios BC,Amarousio,"2016 NBA Draft, Undrafted",Greece
2019,Zois Karampelas,G,6-1,180,Peristeri BC,Athens,"2023 NBA Draft, Undrafted",Greece
2019,Vaidas Kariniauskas,F,6-6,198,GS Kymis,Alytus,"2015 NBA Draft, Undrafted",Lithuania
2019,Leonidas Kaselakis,C,6-7,210,ASP Promitheas Patras,Cholargos,"2012 NBA Draft, Undrafted",Greece
2019,Dimitrios Katsivelis,F,6-5,210,ASP Promitheas Patras,Thessaloniki,"2013 NBA Draft, Undrafted",Greece
2019,Vassilis Kavvadas,F,6-8,255,AEK Athens,Athens,"2013 NBA Draft, Undrafted",Greece
2019,Kevin Keliki,C,6-10,209,Aris BC,,"2022 NBA Draft, Undrafted",Democratic Republic of the Congo
2019,Tim Kempton,FC,6-9,243,Kolossos Rodou BC,Scottsdale (AZ),"2017 NBA Draft, Undrafted",United States
2019,Sean Kilpatrick,G,6-4,212,Panathinaikos,Yonkers (NY),"2014 NBA Draft, Undrafted",United States
2019,Iosif Koloveros,G,6-1,185,Olympiacos,,2024 NBA Draft Eligible,Greece
2019,Antonios Koniaris,G,6-4,190,PAOK BC,Chania,"2019 NBA Draft, Undrafted",Greece
2019,Ioannis Konsoulas,F,6-6,-,PAOK BC,,2024 NBA Draft Eligible,Greece
2019,Thomas Kottas,C,6-10,250,Holargos,Ptolemaida,"2018 NBA Draft, Undrafted",Greece
2019,Dimitrios Kourepis,C,6-10,-,Rethymno,Holargos,"2020 NBA Draft, Undrafted",Greece
2019,Valantis Kourtidis,F,6-8,220,Aris BC,,"2023 NBA Draft, Undrafted",Greece
2019,Ioannis Kouzeloglou,F,6-8,202,GS Lavrio,Thessaloniki,"2017 NBA Draft, Undrafted",Greece
2019,Michale Kyser,F,6-9,210,Aris BC,Lancaster (TX),"2015 NBA Draft, Undrafted",United States
2019,Doron Lamb,G,6-4,210,GS Lavrio,Queens (NY),2012 Rnd 2 Pick 12,United States
2019,Rafail Lanaras,G,6-5,183,ASP Promitheas Patras,,"2023 NBA Draft, Undrafted",Greece
2019,Keith Langford,G,6-4,202,Panathinaikos,Fort Worth (TX),"2005 NBA Draft, Undrafted",United States
2019,Giannoulis Larentzakis,GF,6-5,200,AEK Athens,Amarousio,"2015 NBA Draft, Undrafted",Greece
2019,Yann Ulrich Stephane Lasme,F,6-8,215,Panathinaikos,Port-Gentil,2007 Rnd 2 Pick 16,Gabon
2019,Zach LeDay,F,6-7,230,Olympiacos,The Colony (TX),"2017 NBA Draft, Undrafted",United StatesAzerbaijan
2019,Malcolm Lee,G,6-5,200,Kolossos Rodou BC,Riverside (CA),2011 Rnd 2 Pick 13,United States
2019,Dimitris Legkikas,F,6-10,-,GS Lavrio,Athens,"2017 NBA Draft, Undrafted",Greece
2019,Lukas Lekavicius,G,6-0,167,Panathinaikos,Silale,"2016 NBA Draft, Undrafted",Lithuania
2019,JeQuan Lewis,G,6-0,170,GS Kymis,Dickson (TN),"2017 NBA Draft, Undrafted",United States
2019,DeAndre Liggins,G,6-6,210,Kolossos Rodou BC,Chicago (IL),2011 Rnd 2 Pick 23,United States
2019,Matt Lojeski,G,6-6,185,Panathinaikos,Racine (WI),"2007 NBA Draft, Undrafted",United StatesBelgium
2019,Michail Lountzis,G,6-4,185,GS Lavrio,Amarousio,"2020 NBA Draft, Undrafted",Greece
2019,Jermaine Love-Roberts,G,6-2,175,Holargos,Chicago Heights (IL),"2012 NBA Draft, Undrafted",United States
2019,Oleksandr Lypovyy,G,6-7,176,ASP Promitheas Patras,Kharkiv,"2013 NBA Draft, Undrafted",Ukraine
2019,Jonas Maciulis,F,6-7,225,AEK Athens,Kaunas,"2007 NBA Draft, Undrafted",Lithuania
2019,Chu Maduabum,F,6-9,210,Kolossos Rodou BC,Lagos,2011 Rnd 2 Pick 26,Nigeria
2019,Sotirios Manolopoulos,F,6-10,205,Ifestos Limnou,Thessaloniki,"2009 NBA Draft, Undrafted",GreeceCyprus
2019,Evangelos Mantzaris,G,6-5,210,Olympiacos,Athens,"2012 NBA Draft, Undrafted",Greece
2019,Lefteris Mantzoukas,F,6-9,220,ASP Promitheas Patras,Ioannina,2025 NBA Draft Eligible,Greece
2019,Akolda Manyang,C,7-0,243,Rethymno,Rochester (MN),"2018 NBA Draft, Undrafted",United States
2019,Paris Maragkos,FC,6-9,243,GS Kymis,Amarousio,"2017 NBA Draft, Undrafted",GreeceCyprus
2019,Christos Maravgakis,G,5-10,-,Ifestos Limnou,,"2012 NBA Draft, Undrafted",Greece
2019,Evangelos Margaritis,FC,6-8,245,PAOK BC,Athens,"2004 NBA Draft, Undrafted",Greece
2019,Demetrious Marghellis,F,6-7,158,GS Kymis,,"2020 NBA Draft, Undrafted",Greece
