Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality,Season
Seth Wylie,-,-,-,Leicester Riders,N/A,"2023 NBA Draft, Undrafted",-,2016-2017
Charles Yassi-Pepin,F,6-7,-,Plymouth City Patriots,N/A,"2019 NBA Draft, Undrafted",England,2016-2017
Jubril Adekoya,F,6-7,230,Sheffield Sharks,Tinley Park (IL),"2017 NBA Draft, Undrafted",United States,2017-2018
Fahro Alihodzic,FC,6-10,240,Caledonia Gladiators,Vlasenica,"2014 NBA Draft, Undrafted",Bosnia and HerzegovinaEngland,2017-2018
Teddy Allen,SF,6-6,212,Leicester Riders,Phoenix (AZ),"2022 NBA Draft, Undrafted",United States,2017-2018
Terrell Allen,PG,6-3,180,Sheffield Sharks,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States,2017-2018
Jamell Anderson,F,6-7,214,Manchester Giants,Nottingham,"2012 NBA Draft, Undrafted",England,2017-2018
Caleb Asberry,G,6-3,165,Leicester Riders,Pflugerville (TX),"2023 NBA Draft, Undrafted",United States,2017-2018
T.J. Atwood,SG,6-6,203,Plymouth City Patriots,Beaumont (TX),"2020 NBA Draft, Undrafted",United States,2017-2018
Larry Austin,SG,6-2,182,Newcastle Eagles,Springfield (IL),"2019 NBA Draft, Undrafted",United States,2017-2018
Elliot Bailey,F,6-6,198,Surrey Scorchers,Horsham,"2021 NBA Draft, Undrafted",England,2017-2018
Oscar Baldwin,F,6-10,200,Caledonia Gladiators,Grindleford,"2021 NBA Draft, Undrafted",England,2017-2018
Tyrell Bellot-Green,SG,6-7,215,Plymouth City Patriots,Toronto,"2017 NBA Draft, Undrafted",Canada,2017-2018
Mike Bothwell,G,6-3,195,Caledonia Gladiators,Willoughby (OH),"2023 NBA Draft, Undrafted",United States,2017-2018
Mason Bourcier,G,6-4,200,Manchester Giants,Kelowna,"2021 NBA Draft, Undrafted",Canada,2017-2018
Blake Bowman,F,6-5,194,Leicester Riders,Derby,"2023 NBA Draft, Undrafted",England,2017-2018
Levi Bradley,SF,6-7,210,Bristol Flyers,Milwaukee (WI),"2019 NBA Draft, Undrafted",United States,2017-2018
Braelen Bridges,F,6-11,240,Leicester Riders,McDonough (GA),"2023 NBA Draft, Undrafted",United States,2017-2018
Jonny Bunyan,PG,6-0,180,Caledonia Gladiators,Falkirk,"2014 NBA Draft, Undrafted",Scotland,2017-2018
Trent Buttrick,F,6-8,240,Caledonia Gladiators,Bloomsburg (PA),"2022 NBA Draft, Undrafted",United States,2017-2018
Ethan Chargois,PF,6-9,231,Cheshire Phoenix,Tulsa (OK),"2022 NBA Draft, Undrafted",United States,2017-2018
Nedas Cholevinskas,F,6-4,202,Surrey Scorchers,N/A,2027 NBA Draft Eligible,EnglandLithuania,2017-2018
Cam Christon,G,6-6,190,Cheshire Phoenix,Allen (TX),"2023 NBA Draft, Undrafted",United States,2017-2018
Max Cooper,F,6-6,231,Bristol Flyers,Minnetonka (MN),"2020 NBA Draft, Undrafted",United States,2017-2018
Quin Cooper,F,6-5,185,Surrey Scorchers,Covington (LA),"2015 NBA Draft, Undrafted",United States,2017-2018
Cameron Copeland,F,6-7,185,Plymouth City Patriots,Douglasville (GA),"2023 NBA Draft, Undrafted",United States,2017-2018
Christian Cunningham,F,6-7,215,Bristol Flyers,Albuquerque (NM),"2019 NBA Draft, Undrafted",United States,2017-2018
Jules Dang Akodo,PG,6-2,190,Plymouth City Patriots,Yaounde,"2018 NBA Draft, Undrafted",CameroonEngland,2017-2018
Darrius Defoe,PF,6-9,220,Newcastle Eagles,London,"2006 NBA Draft, Undrafted",DominicaEngland,2017-2018
Sam Dekker,SF,6-9,230,London Lions,Sheboygan (WI),2015 Rnd 1 Pick 18,United States,2017-2018
Malcolm Delpeche,C,6-8,215,Newcastle Eagles,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2017-2018
Marcus Delpeche,F,6-7,215,Sheffield Sharks,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2017-2018
Lachlan Timothy Dent,PG,6-0,174,London Lions,Campbelltown,"2022 NBA Draft, Undrafted",Australia,2017-2018
Joshua Djanogly,C,6-8,215,London Lions,London,"2022 NBA Draft, Undrafted",England,2017-2018
Ian DuBose,G,6-4,210,Caledonia Gladiators,Durham (NC),"2021 NBA Draft, Undrafted",United States,2017-2018
Elvisi Dusha,G,6-2,184,Plymouth City Patriots,London,"2016 NBA Draft, Undrafted",EnglandAlbania,2017-2018
R.J. Eytle-Rock,GF,6-4,225,Sheffield Sharks,London,"2023 NBA Draft, Undrafted",England,2017-2018
Mason Faulkner,SG,6-1,190,Plymouth City Patriots,Glasgow (KY),"2022 NBA Draft, Undrafted",United States,2017-2018
Rodney Glasgow,PG,5-10,170,Sheffield Sharks,Olney (MD),"2014 NBA Draft, Undrafted",United States,2017-2018
Cam Gooden,G,5-11,175,Surrey Scorchers,Frisco (TX),"2023 NBA Draft, Undrafted",United States,2017-2018
Mathew Goodwin,G,6-2,-,Manchester Giants,N/A,2027 NBA Draft Eligible,England,2017-2018
Rowell Graham,SF,6-6,214,Bristol Flyers,London,"2016 NBA Draft, Undrafted",England,2017-2018
Donte Grantham,PF,6-8,215,London Lions,Martinsburg (WV),"2018 NBA Draft, Undrafted",United States,2017-2018
Malek Green,F,6-7,220,Sheffield Sharks,Cincinnati (OH),"2023 NBA Draft, Undrafted",United States,2017-2018
Quade Green,PG,6-0,170,Caledonia Gladiators,Philadelphia (PA),"2021 NBA Draft, Undrafted",United States,2017-2018
Tajh Green,F,6-8,215,Newcastle Eagles,Columbia (SC),"2022 NBA Draft, Undrafted",United States,2017-2018
Brad Greene,C,6-11,270,Bristol Flyers,Lone Pine (CA),"2022 NBA Draft, Undrafted",United States,2017-2018
Rokas Gustys,C,6-9,279,London Lions,Kaunas,"2018 NBA Draft, Undrafted",Lithuania,2017-2018
Jalen Harris,PG,6-1,180,Manchester Giants,Los Angeles (CA),"2023 NBA Draft, Undrafted",United States,2017-2018
Joseph Hart,SF,6-5,205,Plymouth City Patriots,Southend-on-Sea,"2015 NBA Draft, Undrafted",England,2017-2018
Cam Holden,G,6-5,200,Cheshire Phoenix,Forsyth (GA),"2023 NBA Draft, Undrafted",United States,2017-2018
Jaren Holmes,G,6-4,207,Leicester Riders,Romulus (MI),"2023 NBA Draft, Undrafted",United States,2017-2018
Jack Hudson,PG,6-2,194,Cheshire Phoenix,Liverpool,"2015 NBA Draft, Undrafted",England,2017-2018
Jordan Hunt,C,6-9,230,Surrey Scorchers,Lower Hutt,"2020 NBA Draft, Undrafted",New Zealand,2017-2018
Samuel Idowu,SF,6-7,240,Leicester Riders,Brooklyn (NY),"2019 NBA Draft, Undrafted",United StatesEngland,2017-2018
Maceo Jack,G,6-5,190,Cheshire Phoenix,Buffalo (NY),"2022 NBA Draft, Undrafted",United States,2017-2018
C.J. Jackson,PG,6-1,175,Bristol Flyers,Charlotte (NC),"2019 NBA Draft, Undrafted",United States,2017-2018
Trejon Jacob,G,6-5,175,Bristol Flyers,Raleigh (NC),"2020 NBA Draft, Undrafted",United States,2017-2018
Saiquan Jamison,F,6-8,230,Surrey Scorchers,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States,2017-2018
Kyle Jimenez,SF,6-2,200,Caledonia Gladiators,Edinburgh,"2020 NBA Draft, Undrafted",Scotland,2017-2018
D'Andre Johnson,C,6-10,210,Plymouth City Patriots,Washington (DC),"2023 NBA Draft, Undrafted",United States,2017-2018
Jordan Johnson,PG,5-11,175,Newcastle Eagles,Waukegan (IL),"2018 NBA Draft, Undrafted",United States,2017-2018
Kedrian Johnson,G,6-3,185,Bristol Flyers,Dallas (TX),"2023 NBA Draft, Undrafted",United States,2017-2018
Kyle Johnson,G,6-4,210,Caledonia Gladiators,Ajax,"2011 NBA Draft, Undrafted",CanadaEngland,2017-2018
Taylor Johnson,G,6-4,180,Plymouth City Patriots,Aledo (TX),"2018 NBA Draft, Undrafted",United States,2017-2018
Callum Jones,SG,6-4,200,Manchester Giants,Manchester,"2010 NBA Draft, Undrafted",England,2017-2018
Mihailo Jovicic,PG,6-2,194,Caledonia Gladiators,Kragujevac,"2021 NBA Draft, Undrafted",Serbia,2017-2018
Bradley Kaboza,F,6-2,194,London Lions,London,"2023 NBA Draft, Undrafted",England,2017-2018
Sauver Kande,F,6-4,185,Newcastle Eagles,London,2024 NBA Draft Eligible,England,2017-2018
Bennett Koch,F,6-10,235,Sheffield Sharks,Ashwaubenon (WI),"2018 NBA Draft, Undrafted",United States,2017-2018
T.J. Lall,F,6-6,202,Leicester Riders,Cambridge,"2018 NBA Draft, Undrafted",Canada,2017-2018
Pasquale Landolfi,F,6-4,194,Bristol Flyers,Dorchester,"2023 NBA Draft, Undrafted",England,2017-2018
Andrew Lawrence,PG,6-1,192,Surrey Scorchers,London,"2013 NBA Draft, Undrafted",England,2017-2018
Austin Lawton,F,6-8,205,Manchester Giants,Eutawville (SC),"2019 NBA Draft, Undrafted",United States,2017-2018
William Lee,F,6-9,206,Manchester Giants,Plantersville (AL),"2018 NBA Draft, Undrafted",United States,2017-2018
Spencer Levi,F,6-8,220,Plymouth City Patriots,St. Louis (MO),"2022 NBA Draft, Undrafted",United States,2017-2018
Nicholas Lewis,PG,6-3,185,Manchester Giants,Scarborough,"2015 NBA Draft, Undrafted",CanadaEngland,2017-2018
Brincey Lomeka,SF,6-5,220,Plymouth City Patriots,N/A,"2023 NBA Draft, Undrafted",England,2017-2018
Te'Jon Lucas,G,6-1,187,Bristol Flyers,Milwaukee (WI),"2022 NBA Draft, Undrafted",United States,2017-2018
Kimbal Mackenzie,PG,6-1,195,Leicester Riders,Oakville,"2019 NBA Draft, Undrafted",CanadaEngland,2017-2018
Fraser Malcolm,PF,6-6,215,Caledonia Gladiators,Falkirk,"2019 NBA Draft, Undrafted",Scotland,2017-2018
Sam Mamuini,G,6-0,198,Newcastle Eagles,Newcastle,2024 NBA Draft Eligible,England,2017-2018
Rickey McGill,PG,6-1,175,Newcastle Eagles,Spring Valley (NY),"2019 NBA Draft, Undrafted",United States,2017-2018
Darius McNeill,G,6-3,185,Manchester Giants,Houston (TX),"2023 NBA Draft, Undrafted",United States,2017-2018
Abdul Mohamed,F,6-7,190,Surrey Scorchers,Ottawa,"2020 NBA Draft, Undrafted",Canada,2017-2018
Nathaniel Montgomery,G,5-10,154,Sheffield Sharks,Sheffield,"2021 NBA Draft, Undrafted",England,2017-2018
Clifton Moore,PF,6-10,240,Caledonia Gladiators,Horsham (PA),"2023 NBA Draft, Undrafted",United States,2017-2018
Conor Morgan,FC,6-9,220,London Lions,Victoria,"2016 NBA Draft, Undrafted",Canada,2017-2018
Matt Morgan,G,6-2,174,London Lions,Concord (NC),"2019 NBA Draft, Undrafted",United States,2017-2018
Victor Ndoukou,F,6-8,235,Leicester Riders,Wigan,2025 NBA Draft Eligible,England,2017-2018
Will Neighbour,FC,6-10,225,Newcastle Eagles,Grayshott,"2014 NBA Draft, Undrafted",England,2017-2018
Luke Nelson,G,6-3,190,London Lions,Worthing,"2017 NBA Draft, Undrafted",England,2017-2018
Kipper Nichols,F,6-6,220,Sheffield Sharks,Lakewood (OH),"2020 NBA Draft, Undrafted",United States,2017-2018
Prentiss Nixon,PG,6-2,189,Sheffield Sharks,Bolingbrook (IL),"2020 NBA Draft, Undrafted",United States,2017-2018
Mekhii Noble,PF,6-8,225,Plymouth City Patriots,Jacksonville (FL),"2023 NBA Draft, Undrafted",United States,2017-2018
David Nwaba,G,6-5,219,London Lions,Los Angeles (CA),"2016 NBA Draft, Undrafted",United States,2017-2018
Emeka Obukwelu,F,6-8,235,Surrey Scorchers,Plano (TX),"2022 NBA Draft, Undrafted",United States,2017-2018
Tayo Ogedegebe,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2017-2018
Luke Okieseme,-,-,-,Surrey Scorchers,N/A,"2023 NBA Draft, Undrafted",-,2017-2018
Gabriel Olaseni,C,6-10,225,London Lions,London,"2015 NBA Draft, Undrafted",England,2017-2018
Tevin Olison,G,6-4,200,Bristol Flyers,Memphis (TN),"2022 NBA Draft, Undrafted",United States,2017-2018
Princeton Onwas,GF,6-6,215,Caledonia Gladiators,Katy (TX),"2016 NBA Draft, Undrafted",United States,2017-2018
Lukas Palyza,SF,6-6,198,Caledonia Gladiators,Ostrava,"2011 NBA Draft, Undrafted",Czech Republic,2017-2018
Dijiani Parkinson,-,-,-,Surrey Scorchers,N/A,"2023 NBA Draft, Undrafted",-,2017-2018
Tarik Phillip,G,6-3,185,London Lions,Brooklyn (NY),"2017 NBA Draft, Undrafted",United StatesEngland,2017-2018
Xavier Pinson,PG,6-3,174,Leicester Riders,Chicago (IL),"2023 NBA Draft, Undrafted",United States,2017-2018
Jalon Pipkins,G,6-4,200,Sheffield Sharks,Paris (TX),"2022 NBA Draft, Undrafted",United States,2017-2018
Kareem Queeley,G,6-3,202,London Lions,Saint Kitts,"2023 NBA Draft, Undrafted",Saint Kitts and NevisEngland,2017-2018
Aaryn Rai,GF,6-6,205,Cheshire Phoenix,Markham,"2022 NBA Draft, Undrafted",Canada,2017-2018
Devearl Ramsey,PG,6-0,185,Sheffield Sharks,Chatsworth (CA),"2022 NBA Draft, Undrafted",United States,2017-2018
Jordan Ratinho,PG,6-5,210,Sheffield Sharks,Concord (CA),"2020 NBA Draft, Undrafted",United States,2017-2018
LaQuincy Rideau,PG,6-1,209,Cheshire Phoenix,West Palm Beach (FL),"2020 NBA Draft, Undrafted",United States,2017-2018
Legend Robertin,C,7-1,280,Manchester Giants,London,"2018 NBA Draft, Undrafted",England,2017-2018
Justin Robinson,SG,6-2,190,Surrey Scorchers,London,"2011 NBA Draft, Undrafted",England,2017-2018
Dan Rudd,G,6-1,198,Cheshire Phoenix,N/A,2027 NBA Draft Eligible,England,2017-2018
Sesan Russell,G,6-1,200,Leicester Riders,London,"2023 NBA Draft, Undrafted",England,2017-2018
Corey Samuels,G,6-1,165,Bristol Flyers,Bristol,"2022 NBA Draft, Undrafted",England,2017-2018
Ciaran Sandy,F,6-7,195,Leicester Riders,London,2025 NBA Draft Eligible,England,2017-2018
Josh Sharma,C,7-0,230,London Lions,Lexington (MA),"2019 NBA Draft, Undrafted",United StatesEngland,2017-2018
Duke Shelton,F,6-8,215,Leicester Riders,Ocala (FL),"2018 NBA Draft, Undrafted",United States,2017-2018
Callum Smart,C,6-11,216,Bristol Flyers,Gloucester,2026 NBA Draft Eligible,England,2017-2018
Leslee Smith,F,6-8,254,Bristol Flyers,Tortola,"2015 NBA Draft, Undrafted",British Virgin Islands,2017-2018
Morayo Soluade,PG,6-5,196,London Lions,London,"2017 NBA Draft, Undrafted",England,2017-2018
Scott Spencer,SF,6-6,210,Newcastle Eagles,Saint George (VA),"2022 NBA Draft, Undrafted",United States,2017-2018
Nick Stampley,F,6-6,210,Manchester Giants,Pompano Beach (FL),"2022 NBA Draft, Undrafted",United States,2017-2018
Joshua Steel,G,6-4,180,Surrey Scorchers,Harlow,"2017 NBA Draft, Undrafted",England,2017-2018
E.J. Stephens,G,6-3,175,Cheshire Phoenix,Plantation (FL),"2022 NBA Draft, Undrafted",United States,2017-2018
Parker Stewart,SG,6-5,200,Sheffield Sharks,Union City (TN),"2023 NBA Draft, Undrafted",United States,2017-2018
Cael Sweeney,G,-,-,Caledonia Gladiators,N/A,2024 NBA Draft Eligible,England,2017-2018
Jordan Taylor,G,6-1,195,London Lions,Bloomington (MN),"2012 NBA Draft, Undrafted",United States,2017-2018
Miryne Thomas,F,6-8,215,Leicester Riders,Cleveland (OH),"2023 NBA Draft, Undrafted",United States,2017-2018
Raphell Thomas-Edwards,F,6-6,245,Bristol Flyers,Leicester,"2015 NBA Draft, Undrafted",England,2017-2018
Remy Udeh,-,-,-,London Lions,N/A,"2023 NBA Draft, Undrafted",-,2017-2018
David Ulph,PF,6-7,216,Cheshire Phoenix,Widnes,"2015 NBA Draft, Undrafted",England,2017-2018
Maurice Walker,PF,6-10,255,Leicester Riders,Scarborough,"2015 NBA Draft, Undrafted",Canada,2017-2018
Evan Walshe,GF,6-4,200,Manchester Giants,Tring,"2020 NBA Draft, Undrafted",England,2017-2018
Zach Walton,G,6-6,205,Sheffield Sharks,Morton (WA),"2022 NBA Draft, Undrafted",United States,2017-2018
Padiet Wang,G,6-4,165,Surrey Scorchers,Aurora (CO),"2020 NBA Draft, Undrafted",United StatesSouth Sudan,2017-2018
Josh Ward-Hibbert,F,6-4,190,Newcastle Eagles,Nottingham,"2016 NBA Draft, Undrafted",England,2017-2018
Conner Washington,G,6-1,178,Leicester Riders,Elstow,"2014 NBA Draft, Undrafted",England,2017-2018
Patrick Whelan,SG,6-5,205,Caledonia Gladiators,Warrington,"2018 NBA Draft, Undrafted",England,2017-2018
Skyler White,F,6-7,220,Cheshire Phoenix,Clyde Hill (WA),"2018 NBA Draft, Undrafted",United States,2017-2018
Will White,F,6-3,-,Plymouth City Patriots,N/A,2024 NBA Draft Eligible,England,2017-2018
Devin Whitfield,G,6-5,170,Newcastle Eagles,Lipscomb (AL),"2021 NBA Draft, Undrafted",United States,2017-2018
Greg Wild,G,6-1,190,Cheshire Phoenix,Manchester,2024 NBA Draft Eligible,England,2017-2018
Jacob Wiley,F,6-7,210,Plymouth City Patriots,Houston (TX),"2022 NBA Draft, Undrafted",United States,2017-2018
Benjamin Woog,C,6-7,227,Leicester Riders,Haverfordwest,2025 NBA Draft Eligible,Wales,2017-2018
Seth Wylie,-,-,-,Leicester Riders,N/A,"2023 NBA Draft, Undrafted",-,2017-2018
Charles Yassi-Pepin,F,6-7,-,Plymouth City Patriots,N/A,"2019 NBA Draft, Undrafted",England,2017-2018
Jubril Adekoya,F,6-7,230,Sheffield Sharks,Tinley Park (IL),"2017 NBA Draft, Undrafted",United States,2018-2019
Fahro Alihodzic,FC,6-10,240,Caledonia Gladiators,Vlasenica,"2014 NBA Draft, Undrafted",Bosnia and HerzegovinaEngland,2018-2019
Teddy Allen,SF,6-6,212,Leicester Riders,Phoenix (AZ),"2022 NBA Draft, Undrafted",United States,2018-2019
Terrell Allen,PG,6-3,180,Sheffield Sharks,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States,2018-2019
Jamell Anderson,F,6-7,214,Manchester Giants,Nottingham,"2012 NBA Draft, Undrafted",England,2018-2019
Caleb Asberry,G,6-3,165,Leicester Riders,Pflugerville (TX),"2023 NBA Draft, Undrafted",United States,2018-2019
T.J. Atwood,SG,6-6,203,Plymouth City Patriots,Beaumont (TX),"2020 NBA Draft, Undrafted",United States,2018-2019
Larry Austin,SG,6-2,182,Newcastle Eagles,Springfield (IL),"2019 NBA Draft, Undrafted",United States,2018-2019
Elliot Bailey,F,6-6,198,Surrey Scorchers,Horsham,"2021 NBA Draft, Undrafted",England,2018-2019
Oscar Baldwin,F,6-10,200,Caledonia Gladiators,Grindleford,"2021 NBA Draft, Undrafted",England,2018-2019
Tyrell Bellot-Green,SG,6-7,215,Plymouth City Patriots,Toronto,"2017 NBA Draft, Undrafted",Canada,2018-2019
Mike Bothwell,G,6-3,195,Caledonia Gladiators,Willoughby (OH),"2023 NBA Draft, Undrafted",United States,2018-2019
Mason Bourcier,G,6-4,200,Manchester Giants,Kelowna,"2021 NBA Draft, Undrafted",Canada,2018-2019
Blake Bowman,F,6-5,194,Leicester Riders,Derby,"2023 NBA Draft, Undrafted",England,2018-2019
Levi Bradley,SF,6-7,210,Bristol Flyers,Milwaukee (WI),"2019 NBA Draft, Undrafted",United States,2018-2019
Braelen Bridges,F,6-11,240,Leicester Riders,McDonough (GA),"2023 NBA Draft, Undrafted",United States,2018-2019
Jonny Bunyan,PG,6-0,180,Caledonia Gladiators,Falkirk,"2014 NBA Draft, Undrafted",Scotland,2018-2019
Trent Buttrick,F,6-8,240,Caledonia Gladiators,Bloomsburg (PA),"2022 NBA Draft, Undrafted",United States,2018-2019
Ethan Chargois,PF,6-9,231,Cheshire Phoenix,Tulsa (OK),"2022 NBA Draft, Undrafted",United States,2018-2019
Nedas Cholevinskas,F,6-4,202,Surrey Scorchers,N/A,2027 NBA Draft Eligible,EnglandLithuania,2018-2019
Cam Christon,G,6-6,190,Cheshire Phoenix,Allen (TX),"2023 NBA Draft, Undrafted",United States,2018-2019
Max Cooper,F,6-6,231,Bristol Flyers,Minnetonka (MN),"2020 NBA Draft, Undrafted",United States,2018-2019
Quin Cooper,F,6-5,185,Surrey Scorchers,Covington (LA),"2015 NBA Draft, Undrafted",United States,2018-2019
Cameron Copeland,F,6-7,185,Plymouth City Patriots,Douglasville (GA),"2023 NBA Draft, Undrafted",United States,2018-2019
Christian Cunningham,F,6-7,215,Bristol Flyers,Albuquerque (NM),"2019 NBA Draft, Undrafted",United States,2018-2019
Jules Dang Akodo,PG,6-2,190,Plymouth City Patriots,Yaounde,"2018 NBA Draft, Undrafted",CameroonEngland,2018-2019
Darrius Defoe,PF,6-9,220,Newcastle Eagles,London,"2006 NBA Draft, Undrafted",DominicaEngland,2018-2019
Sam Dekker,SF,6-9,230,London Lions,Sheboygan (WI),2015 Rnd 1 Pick 18,United States,2018-2019
Malcolm Delpeche,C,6-8,215,Newcastle Eagles,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2018-2019
Marcus Delpeche,F,6-7,215,Sheffield Sharks,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2018-2019
Lachlan Timothy Dent,PG,6-0,174,London Lions,Campbelltown,"2022 NBA Draft, Undrafted",Australia,2018-2019
Joshua Djanogly,C,6-8,215,London Lions,London,"2022 NBA Draft, Undrafted",England,2018-2019
Ian DuBose,G,6-4,210,Caledonia Gladiators,Durham (NC),"2021 NBA Draft, Undrafted",United States,2018-2019
Elvisi Dusha,G,6-2,184,Plymouth City Patriots,London,"2016 NBA Draft, Undrafted",EnglandAlbania,2018-2019
R.J. Eytle-Rock,GF,6-4,225,Sheffield Sharks,London,"2023 NBA Draft, Undrafted",England,2018-2019
Mason Faulkner,SG,6-1,190,Plymouth City Patriots,Glasgow (KY),"2022 NBA Draft, Undrafted",United States,2018-2019
Rodney Glasgow,PG,5-10,170,Sheffield Sharks,Olney (MD),"2014 NBA Draft, Undrafted",United States,2018-2019
Cam Gooden,G,5-11,175,Surrey Scorchers,Frisco (TX),"2023 NBA Draft, Undrafted",United States,2018-2019
Mathew Goodwin,G,6-2,-,Manchester Giants,N/A,2027 NBA Draft Eligible,England,2018-2019
Rowell Graham,SF,6-6,214,Bristol Flyers,London,"2016 NBA Draft, Undrafted",England,2018-2019
Donte Grantham,PF,6-8,215,London Lions,Martinsburg (WV),"2018 NBA Draft, Undrafted",United States,2018-2019
Malek Green,F,6-7,220,Sheffield Sharks,Cincinnati (OH),"2023 NBA Draft, Undrafted",United States,2018-2019
Quade Green,PG,6-0,170,Caledonia Gladiators,Philadelphia (PA),"2021 NBA Draft, Undrafted",United States,2018-2019
Tajh Green,F,6-8,215,Newcastle Eagles,Columbia (SC),"2022 NBA Draft, Undrafted",United States,2018-2019
Brad Greene,C,6-11,270,Bristol Flyers,Lone Pine (CA),"2022 NBA Draft, Undrafted",United States,2018-2019
Rokas Gustys,C,6-9,279,London Lions,Kaunas,"2018 NBA Draft, Undrafted",Lithuania,2018-2019
Jalen Harris,PG,6-1,180,Manchester Giants,Los Angeles (CA),"2023 NBA Draft, Undrafted",United States,2018-2019
Joseph Hart,SF,6-5,205,Plymouth City Patriots,Southend-on-Sea,"2015 NBA Draft, Undrafted",England,2018-2019
Cam Holden,G,6-5,200,Cheshire Phoenix,Forsyth (GA),"2023 NBA Draft, Undrafted",United States,2018-2019
Jaren Holmes,G,6-4,207,Leicester Riders,Romulus (MI),"2023 NBA Draft, Undrafted",United States,2018-2019
Jack Hudson,PG,6-2,194,Cheshire Phoenix,Liverpool,"2015 NBA Draft, Undrafted",England,2018-2019
Jordan Hunt,C,6-9,230,Surrey Scorchers,Lower Hutt,"2020 NBA Draft, Undrafted",New Zealand,2018-2019
Samuel Idowu,SF,6-7,240,Leicester Riders,Brooklyn (NY),"2019 NBA Draft, Undrafted",United StatesEngland,2018-2019
Maceo Jack,G,6-5,190,Cheshire Phoenix,Buffalo (NY),"2022 NBA Draft, Undrafted",United States,2018-2019
C.J. Jackson,PG,6-1,175,Bristol Flyers,Charlotte (NC),"2019 NBA Draft, Undrafted",United States,2018-2019
Trejon Jacob,G,6-5,175,Bristol Flyers,Raleigh (NC),"2020 NBA Draft, Undrafted",United States,2018-2019
Saiquan Jamison,F,6-8,230,Surrey Scorchers,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States,2018-2019
Kyle Jimenez,SF,6-2,200,Caledonia Gladiators,Edinburgh,"2020 NBA Draft, Undrafted",Scotland,2018-2019
D'Andre Johnson,C,6-10,210,Plymouth City Patriots,Washington (DC),"2023 NBA Draft, Undrafted",United States,2018-2019
Jordan Johnson,PG,5-11,175,Newcastle Eagles,Waukegan (IL),"2018 NBA Draft, Undrafted",United States,2018-2019
Kedrian Johnson,G,6-3,185,Bristol Flyers,Dallas (TX),"2023 NBA Draft, Undrafted",United States,2018-2019
Kyle Johnson,G,6-4,210,Caledonia Gladiators,Ajax,"2011 NBA Draft, Undrafted",CanadaEngland,2018-2019
Taylor Johnson,G,6-4,180,Plymouth City Patriots,Aledo (TX),"2018 NBA Draft, Undrafted",United States,2018-2019
Callum Jones,SG,6-4,200,Manchester Giants,Manchester,"2010 NBA Draft, Undrafted",England,2018-2019
Mihailo Jovicic,PG,6-2,194,Caledonia Gladiators,Kragujevac,"2021 NBA Draft, Undrafted",Serbia,2018-2019
Bradley Kaboza,F,6-2,194,London Lions,London,"2023 NBA Draft, Undrafted",England,2018-2019
Sauver Kande,F,6-4,185,Newcastle Eagles,London,2024 NBA Draft Eligible,England,2018-2019
Bennett Koch,F,6-10,235,Sheffield Sharks,Ashwaubenon (WI),"2018 NBA Draft, Undrafted",United States,2018-2019
T.J. Lall,F,6-6,202,Leicester Riders,Cambridge,"2018 NBA Draft, Undrafted",Canada,2018-2019
Pasquale Landolfi,F,6-4,194,Bristol Flyers,Dorchester,"2023 NBA Draft, Undrafted",England,2018-2019
Andrew Lawrence,PG,6-1,192,Surrey Scorchers,London,"2013 NBA Draft, Undrafted",England,2018-2019
Austin Lawton,F,6-8,205,Manchester Giants,Eutawville (SC),"2019 NBA Draft, Undrafted",United States,2018-2019
William Lee,F,6-9,206,Manchester Giants,Plantersville (AL),"2018 NBA Draft, Undrafted",United States,2018-2019
Spencer Levi,F,6-8,220,Plymouth City Patriots,St. Louis (MO),"2022 NBA Draft, Undrafted",United States,2018-2019
Nicholas Lewis,PG,6-3,185,Manchester Giants,Scarborough,"2015 NBA Draft, Undrafted",CanadaEngland,2018-2019
Brincey Lomeka,SF,6-5,220,Plymouth City Patriots,N/A,"2023 NBA Draft, Undrafted",England,2018-2019
Te'Jon Lucas,G,6-1,187,Bristol Flyers,Milwaukee (WI),"2022 NBA Draft, Undrafted",United States,2018-2019
Kimbal Mackenzie,PG,6-1,195,Leicester Riders,Oakville,"2019 NBA Draft, Undrafted",CanadaEngland,2018-2019
Fraser Malcolm,PF,6-6,215,Caledonia Gladiators,Falkirk,"2019 NBA Draft, Undrafted",Scotland,2018-2019
Sam Mamuini,G,6-0,198,Newcastle Eagles,Newcastle,2024 NBA Draft Eligible,England,2018-2019
Rickey McGill,PG,6-1,175,Newcastle Eagles,Spring Valley (NY),"2019 NBA Draft, Undrafted",United States,2018-2019
Darius McNeill,G,6-3,185,Manchester Giants,Houston (TX),"2023 NBA Draft, Undrafted",United States,2018-2019
Abdul Mohamed,F,6-7,190,Surrey Scorchers,Ottawa,"2020 NBA Draft, Undrafted",Canada,2018-2019
