Year,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality,Season,League
2022,G,11,Bradley Kaboza,LON,19,16.7,20.9,6.3,14.7,0.433,2.7,7.1,0.383,5.4,6.3,0.857,1.7,3.6,5.3,4.4,2.4,0.2,5.9,4.4,F,6-2,194,London Lions,London,"2023 NBA Draft, Undrafted",England,2011-2011,British Basketball League
2022,G,13,Rodney Glasgow,OHS,28,32.0,16.6,6.7,14.2,0.472,1.8,4.9,0.37,1.4,1.8,0.765,1.0,5.0,5.9,6.9,0.6,0.1,1.9,2.0,PG,5-10,170,Sheffield Sharks,Olney (MD),"2014 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2022,G,21,Nathaniel Montgomery,OHS,16,5.0,10.8,3.6,10.2,0.353,3.6,7.8,0.462,0.0,1.2,0.0,0.0,1.2,1.2,6.0,0.0,0.6,1.8,7.2,G,5-10,154,Sheffield Sharks,Sheffield,"2021 NBA Draft, Undrafted",England,2011-2011,British Basketball League
2022,G,23,Corey Samuels,BRI,27,10.7,9.9,3.1,10.9,0.288,0.8,3.8,0.217,2.8,4.8,0.586,1.0,4.1,5.1,5.3,1.7,0.5,5.1,4.0,G,6-1,165,Bristol Flyers,Bristol,"2022 NBA Draft, Undrafted",England,2011-2011,British Basketball League
2022,G,24,Greg Wild,LEI,14,2.6,9.2,3.9,15.8,0.25,1.3,5.3,0.25,0.0,0.0,0.0,2.6,5.3,7.9,10.5,2.6,0.0,5.3,2.6,G,6-1,190,Cheshire Phoenix,Manchester,2024 NBA Draft Eligible,England,2011-2011,British Basketball League
2022,G,4,Patrick Whelan,LEI,32,29.8,24.2,8.2,15.3,0.535,4.0,8.4,0.479,3.9,4.3,0.895,0.6,6.4,7.1,4.0,1.0,0.3,2.2,2.6,SG,6-5,205,Caledonia Gladiators,Warrington,"2018 NBA Draft, Undrafted",England,2011-2011,British Basketball League
2022,G,5,Larry Austin,CHE,24,29.5,24.2,9.6,19.5,0.49,0.3,2.0,0.172,4.7,7.6,0.616,3.9,6.5,10.4,7.7,3.8,0.3,3.0,3.5,SG,6-2,182,Newcastle Eagles,Springfield (IL),"2019 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2022,G,7,Trejon Jacob,BRI,31,30.6,23.7,8.3,19.5,0.426,3.6,10.0,0.359,3.5,4.9,0.719,2.8,7.9,10.7,5.3,2.6,0.3,3.6,2.6,G,6-5,175,Bristol Flyers,Raleigh (NC),"2020 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2022,F,21,Jubril Adekoya,LEI,32,18.6,13.7,5.5,10.9,0.504,1.0,3.0,0.324,1.8,2.7,0.667,2.3,8.6,11.0,4.1,3.0,0.1,2.4,4.2,F,6-7,230,Sheffield Sharks,Tinley Park (IL),"2017 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2022,F,1,Maurice Walker,LEI,26,17.8,27.6,11.4,19.3,0.591,0.4,1.0,0.4,4.4,5.7,0.764,5.3,10.0,15.3,3.0,1.5,2.0,3.3,5.1,PF,6-10,255,Leicester Riders,Scarborough,"2015 NBA Draft, Undrafted",Canada,2011-2011,British Basketball League
2022,F,2,Duke Shelton,NEW,12,26.2,25.6,10.7,17.2,0.619,0.0,0.3,0.0,4.3,7.3,0.583,5.8,12.4,18.2,1.5,1.1,2.6,3.5,4.9,F,6-8,215,Leicester Riders,Ocala (FL),"2018 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2022,F,4,Rowell Graham,PLY,26,28.6,25.2,9.6,20.9,0.458,1.4,4.4,0.324,4.7,6.4,0.727,3.5,8.2,11.7,2.3,1.7,1.0,2.6,4.3,SF,6-6,214,Bristol Flyers,London,"2016 NBA Draft, Undrafted",England,2011-2011,British Basketball League
2022,C,4,Malcolm Delpeche,BRI,31,24.4,24.6,10.9,21.3,0.513,0.0,0.1,0.0,2.7,5.8,0.473,7.0,7.1,14.1,3.2,2.2,1.8,3.1,4.3,C,6-8,215,Newcastle Eagles,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2023,G,7,Luke Nelson,LON,35,21.3,24.1,7.7,18.1,0.423,4.0,10.5,0.38,4.8,6.4,0.74,0.5,4.8,5.3,9.5,1.9,0.2,3.3,4.6,G,6-3,190,London Lions,Worthing,"2017 NBA Draft, Undrafted",England,2011-2011,British Basketball League
2023,G,11,Nicholas Lewis,MAN,38,17.9,20.3,7.3,19.6,0.375,3.5,11.0,0.321,2.0,3.3,0.63,2.3,5.8,8.1,4.2,4.1,0.4,2.3,6.1,PG,6-3,185,Manchester Giants,Scarborough,"2015 NBA Draft, Undrafted",CanadaEngland,2011-2011,British Basketball League
2023,G,12,Andrew Lawrence,SUR,21,23.5,19.4,6.6,14.6,0.453,2.9,8.1,0.361,3.3,4.8,0.694,0.7,3.6,4.3,7.9,1.7,0.0,2.7,4.2,PG,6-1,192,Surrey Scorchers,London,"2013 NBA Draft, Undrafted",England,2011-2011,British Basketball League
2023,G,13,Devearl Ramsey,OHS,20,29.2,19.4,6.6,16.0,0.41,1.8,6.2,0.293,4.4,4.9,0.9,1.5,5.0,6.5,3.2,3.3,0.2,2.2,4.2,PG,6-0,185,Sheffield Sharks,Chatsworth (CA),"2022 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2023,G,14,Jordan Taylor,LON,26,23.9,18.4,6.4,14.5,0.441,2.0,5.8,0.347,3.6,4.6,0.78,0.9,4.9,5.8,10.7,1.7,0.2,2.9,5.9,G,6-1,195,London Lions,Bloomington (MN),"2012 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2023,G,22,Morayo Soluade,LON,37,19.8,13.2,4.7,9.9,0.477,3.1,7.3,0.432,0.6,0.8,0.75,0.7,6.1,6.8,6.5,3.3,0.3,2.8,3.1,PG,6-5,196,London Lions,London,"2017 NBA Draft, Undrafted",England,2011-2011,British Basketball League
2023,G,24,Kareem Queeley,LON,11,16.4,9.1,3.2,9.6,0.333,0.5,3.7,0.143,2.1,4.0,0.533,0.5,2.9,3.5,3.5,1.6,1.1,3.2,4.8,G,6-3,202,London Lions,Saint Kitts,"2023 NBA Draft, Undrafted",Saint Kitts and NevisEngland,2011-2011,British Basketball League
2023,G,3,Kyle Johnson,NEW,31,28.1,25.6,10.1,22.2,0.455,1.5,5.6,0.275,3.8,5.2,0.734,3.1,7.3,10.4,3.5,0.7,0.1,2.2,2.9,G,6-4,210,Caledonia Gladiators,Ajax,"2011 NBA Draft, Undrafted",CanadaEngland,2011-2011,British Basketball League
2023,G,7,Maceo Jack,CHE,34,25.7,21.2,7.4,17.9,0.411,3.1,9.2,0.335,3.4,4.0,0.849,1.9,4.8,6.8,2.5,1.4,1.0,2.0,3.6,G,6-5,190,Cheshire Phoenix,Buffalo (NY),"2022 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2023,G,8,Tevin Olison,BRI,38,24.6,20.9,7.5,17.3,0.432,3.5,8.8,0.395,2.5,3.0,0.828,1.9,3.9,5.8,3.7,1.4,0.2,2.4,4.4,G,6-4,200,Bristol Flyers,Memphis (TN),"2022 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2023,G,24,Kyle Jimenez,CAL,35,15.2,7.3,2.5,6.3,0.4,1.8,4.0,0.455,0.5,0.5,0.833,1.0,1.4,2.4,6.2,1.4,0.0,3.3,4.5,SF,6-2,200,Caledonia Gladiators,Edinburgh,"2020 NBA Draft, Undrafted",Scotland,2011-2011,British Basketball League
2023,F,1,Sam Dekker,LON,22,23.7,33.3,12.4,22.8,0.544,3.0,8.7,0.347,5.4,7.3,0.747,2.3,7.8,10.1,6.3,2.6,0.7,4.3,1.7,SF,6-9,230,London Lions,Sheboygan (WI),2015 Rnd 1 Pick 18,United States,2011-2011,British Basketball League
2023,F,9,Padiet Wang,SUR,28,30.7,21.2,7.5,17.4,0.433,1.8,6.0,0.296,4.4,5.9,0.736,1.7,7.3,9.0,7.2,2.0,0.8,4.9,4.0,G,6-4,165,Surrey Scorchers,Aurora (CO),"2020 NBA Draft, Undrafted",United StatesSouth Sudan,2011-2011,British Basketball League
2023,F,11,Princeton Onwas,CAL,36,27.7,18.0,7.1,13.7,0.516,1.4,4.4,0.326,2.4,4.1,0.588,2.7,6.8,9.5,3.5,2.1,0.7,2.7,5.5,GF,6-6,215,Caledonia Gladiators,Katy (TX),"2016 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2023,F,13,Blake Bowman,LEI,32,9.9,17.8,5.9,13.7,0.433,2.1,6.5,0.326,3.8,6.4,0.595,1.4,6.4,7.7,2.4,1.4,0.5,2.9,4.9,F,6-5,194,Leicester Riders,Derby,"2023 NBA Draft, Undrafted",England,2011-2011,British Basketball League
2023,F,14,Jalon Pipkins,OHS,15,29.3,16.9,6.4,14.7,0.437,1.9,5.1,0.362,2.2,2.3,0.952,0.7,5.0,5.7,3.5,2.6,0.5,3.1,3.2,G,6-4,200,Sheffield Sharks,Paris (TX),"2022 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2023,F,1,Tajh Green,MAN,38,34.0,25.4,9.6,20.4,0.472,1.8,6.1,0.297,4.3,6.5,0.669,4.0,8.7,12.7,2.9,1.2,1.4,3.0,3.1,F,6-8,215,Newcastle Eagles,Columbia (SC),"2022 NBA Draft, Undrafted",United States,2011-2011,British Basketball League
2023,C,6,Josh Sharma,LON,38,19.7,23.9,9.9,16.1,0.618,0.3,0.7,0.364,3.7,5.4,0.69,4.5,8.8,13.3,2.0,1.2,4.5,3.1,6.0,C,7-0,230,London Lions,Lexington (MA),"2019 NBA Draft, Undrafted",United StatesEngland,2011-2011,British Basketball League
2023,C,17,Legend Robertin,MAN,31,13.0,17.2,6.6,12.2,0.539,0.0,0.0,0.0,4.1,7.9,0.515,5.6,7.9,13.5,1.2,0.4,3.5,2.6,8.0,C,7-1,280,Manchester Giants,London,"2018 NBA Draft, Undrafted",England,2011-2011,British Basketball League
